"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",10,-136.861424322126,-64.8312883562286,78.4307121610629,-156.861424322126,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","vit_base_patch16_224","cue-conflict"
"critical_fit",11,-134.901374491669,-55.6682249291825,78.4506872458347,-156.901374491669,0.03995016954363,1,0.841578041877841,"auc_entropy","baseline_final","rt","filteredCorrect","vit_base_patch16_224","cue-conflict"
"baseline_midpoint_fit",10,-107.812116843537,-35.7819808776397,63.9060584217685,-127.812116843537,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","cue-conflict"
"critical_fit",11,-169.974917377408,-90.7417678149209,95.9874586887039,-191.974917377408,64.162800533871,1,1.14551320250951e-15,"auc_entropy","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","cue-conflict"
"critical_fit",11,-136.344084194858,-57.1109346323709,79.1720420974289,-158.344084194858,1.48265987273203,1,0.223358823825111,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","vit_base_patch16_224","cue-conflict"
"critical_fit",11,-119.705968799384,-40.4728192368966,70.8529843996918,-141.705968799384,13.8938519558466,1,0.000193430165159934,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","cue-conflict"
"critical_fit",11,-247.598440315116,-168.365290752629,134.799220157558,-269.598440315116,112.73701599299,1,2.46379429894206e-26,"auc_rank_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","cue-conflict"
"critical_fit",11,-240.710158577313,-161.477009014826,131.355079288656,-262.710158577313,134.898041733776,1,3.47566435136359e-31,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","cue-conflict"
"critical_fit",11,-172.27282570109,-93.0396761386026,97.1364128505448,-194.27282570109,37.4114013789637,1,9.566126753176e-10,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","cue-conflict"
"critical_fit",11,-120.196525183689,-40.963375621202,71.0982625918444,-142.196525183689,14.384408340152,1,0.000149031199183474,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","cue-conflict"
"critical_fit",11,-268.021176237988,-188.788026675501,145.010588118994,-290.021176237988,133.159751915863,1,8.34215896679993e-31,"auc_logprob_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","cue-conflict"
"critical_fit",11,-216.564364773791,-137.331215211304,119.282182386895,-238.564364773791,110.752247930254,1,6.70474418212378e-26,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","cue-conflict"
"critical_fit",11,-140.084132360261,-60.8509827977745,81.0420661801307,-162.084132360261,5.22270803813566,1,0.0222938077941441,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","cue-conflict"
"critical_fit",11,-167.590854418633,-88.3577048561459,94.7954272093164,-189.590854418633,61.7787375750959,1,3.84301740772655e-15,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","cue-conflict"
