"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",10,-326.008612223243,-273.609286310038,173.004306111621,-346.008612223243,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","vit_base_patch16_224","edge"
"critical_fit",11,-336.806088850665,-279.16683034614,179.403044425333,-358.806088850665,12.7974766274228,1,0.000347087190957512,"auc_entropy","baseline_final","rt","filteredCorrect","vit_base_patch16_224","edge"
"baseline_midpoint_fit",10,-306.404366016764,-254.005040103559,163.202183008382,-326.404366016764,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","edge"
"critical_fit",11,-305.225449410295,-247.58619090577,163.612724705147,-327.225449410295,0.821083393531126,1,0.364863597365316,"auc_entropy","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","edge"
"critical_fit",11,-325.502783480407,-267.863524975882,173.751391740204,-347.502783480407,1.49417125716462,1,0.221570391933815,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","vit_base_patch16_224","edge"
"critical_fit",11,-307.253369204226,-249.614110699701,164.626684602113,-329.253369204226,2.84900318746293,1,0.0914306099325342,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","edge"
"critical_fit",11,-337.554723190231,-279.915464685706,179.777361595116,-359.554723190231,13.5461109669884,1,0.000232773249663848,"auc_rank_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","edge"
"critical_fit",11,-306.796223730056,-249.156965225531,164.398111865028,-328.796223730056,2.39185771329255,1,0.12196861069656,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","edge"
"critical_fit",11,-326.940065955471,-269.300807450946,174.470032977736,-348.940065955471,2.93145373222836,1,0.0868692383364016,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","edge"
"critical_fit",11,-324.111960098508,-266.472701593983,173.055980049254,-346.111960098508,19.7075940817447,1,9.0242041752092e-06,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","edge"
"critical_fit",11,-338.092634767776,-280.453376263251,180.046317383888,-360.092634767776,14.0840225445335,1,0.000174822519912928,"auc_logprob_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","edge"
"critical_fit",11,-304.994468147482,-247.355209642956,163.497234073741,-326.994468147482,0.590102130718094,1,0.44237962812138,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","edge"
"critical_fit",11,-324.440964471625,-266.801705967099,173.220482235812,-346.440964471625,0.432352248381846,1,0.510836987361268,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","edge"
"critical_fit",11,-321.49974956479,-263.860491060265,171.749874782395,-343.49974956479,17.0953835480263,1,3.55486093587081e-05,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","edge"
