"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",11,-913.72343147361,-844.546787558914,467.861715736805,-935.72343147361,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","vit_base_patch16_224","false-colour"
"critical_fit",12,-972.439240727853,-896.97381100273,498.219620363927,-996.439240727853,60.7158092542428,1,6.59384674933293e-15,"auc_entropy","baseline_final","rt","filteredCorrect","vit_base_patch16_224","false-colour"
"baseline_midpoint_fit",11,-785.823320315751,-716.646676401055,403.911660157876,-807.823320315751,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","false-colour"
"critical_fit",12,-1034.72060212408,-959.255172398957,529.36030106204,-1058.72060212408,250.897281808329,1,1.65510491777668e-56,"auc_entropy","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","false-colour"
"critical_fit",12,-940.781474894884,-865.316045169761,482.390737447442,-964.781474894884,29.0580434212737,1,7.02418560517135e-08,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","vit_base_patch16_224","false-colour"
"critical_fit",12,-882.410538149323,-806.9451084242,453.205269074661,-906.410538149323,98.5872178335716,1,3.11020288075013e-23,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","false-colour"
"critical_fit",12,-915.21539027993,-839.749960554807,469.607695139965,-939.21539027993,3.49195880631953,1,0.0616675767260903,"auc_rank_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","false-colour"
"critical_fit",12,-799.731152368535,-724.265722643412,411.865576184268,-823.731152368535,15.907832052784,1,6.65029501008759e-05,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","false-colour"
"critical_fit",12,-914.047138661502,-838.581708936379,469.023569330751,-938.047138661502,2.32370718789184,1,0.127416040330355,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","false-colour"
"critical_fit",12,-789.754173818291,-714.288744093167,406.877086909145,-813.754173818291,5.93085350253943,1,0.0148780341474782,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","false-colour"
"critical_fit",12,-918.438148541933,-842.97271881681,471.219074270966,-942.438148541933,6.71471706832244,1,0.00956204600462487,"auc_logprob_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","false-colour"
"critical_fit",12,-802.334834273812,-726.869404548688,413.167417136906,-826.334834273812,18.5115139580604,1,1.68880987912515e-05,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","false-colour"
"critical_fit",12,-915.68104054423,-840.215610819107,469.840520272115,-939.68104054423,3.95760907062004,1,0.0466599328513335,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","false-colour"
"critical_fit",12,-803.543501220535,-728.078071495412,413.771750610267,-827.543501220535,19.7201809047835,1,8.96496287622703e-06,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","false-colour"
