"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",11,-750.125186401366,-681.697792528097,386.062593200683,-772.125186401366,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","vit_base_patch16_224","power-equalisation"
"critical_fit",12,-794.526548215263,-719.878482171696,409.263274107632,-818.526548215263,46.4013618138969,1,9.63485256314971e-12,"auc_entropy","baseline_final","rt","filteredCorrect","vit_base_patch16_224","power-equalisation"
"baseline_midpoint_fit",11,-676.435733378602,-608.008339505332,349.217866689301,-698.435733378602,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","power-equalisation"
"critical_fit",12,-843.585884386592,-768.937818343025,433.792942193296,-867.585884386592,169.15015100799,1,1.13444813320589e-38,"auc_entropy","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","power-equalisation"
"critical_fit",12,-751.428732532845,-676.780666489278,387.714366266423,-775.428732532845,3.30354613147904,1,0.0691304935797508,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","vit_base_patch16_224","power-equalisation"
"critical_fit",12,-713.792164627599,-639.144098584032,368.896082313799,-737.792164627599,39.356431248997,1,3.53088008213413e-10,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","power-equalisation"
"critical_fit",12,-748.535554192171,-673.887488148604,386.267777096085,-772.535554192171,0.410367790804344,1,0.521782888295448,"auc_rank_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","power-equalisation"
"critical_fit",12,-697.544471081624,-622.896405038057,360.772235540812,-721.544471081624,23.1087377030225,1,1.53093413909346e-06,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","power-equalisation"
"critical_fit",12,-753.831029562628,-679.182963519061,388.915514781314,-777.831029562628,5.70584316126212,1,0.0169085315641084,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","power-equalisation"
"critical_fit",12,-674.436673639518,-599.788607595951,349.218336819759,-698.436673639518,0.000940260915967883,1,0.975537761312731,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","power-equalisation"
"critical_fit",12,-748.334638521857,-673.68657247829,386.167319260929,-772.334638521857,0.20945212049071,1,0.647197165593945,"auc_logprob_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","power-equalisation"
"critical_fit",12,-688.992089137002,-614.344023093435,356.496044568501,-712.992089137002,14.5563557584002,1,0.000136029014373591,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","power-equalisation"
"critical_fit",12,-748.126450167045,-673.478384123478,386.063225083523,-772.126450167045,0.00126376567902753,1,0.971641590261532,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","vit_base_patch16_224","power-equalisation"
"critical_fit",12,-674.55551012341,-599.907444079843,349.277755061705,-698.55551012341,0.119776744808405,1,0.729276754006655,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_base_patch16_224","power-equalisation"
