"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",11,-841.21475899359,-772.038115078894,431.607379496795,-863.21475899359,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","vit_small_patch16_224","false-colour"
"critical_fit",12,-882.75098351761,-807.285553792487,453.375491758805,-906.75098351761,43.5362245240202,1,4.16183578054924e-11,"auc_entropy","baseline_final","rt","filteredCorrect","vit_small_patch16_224","false-colour"
"baseline_midpoint_fit",11,-920.283311811666,-851.10666789697,471.141655905833,-942.283311811666,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","false-colour"
"critical_fit",12,-992.072363034884,-916.606933309761,508.036181517442,-1016.07236303488,73.7890512232184,1,8.69274255254293e-18,"auc_entropy","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","false-colour"
"critical_fit",12,-841.260063748997,-765.794634023874,432.630031874499,-865.260063748997,2.04530475540707,1,0.152676406841206,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","vit_small_patch16_224","false-colour"
"critical_fit",12,-922.851881864918,-847.386452139795,473.425940932459,-946.851881864918,4.56857005325196,1,0.0325637359497572,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","false-colour"
"critical_fit",12,-919.537433719174,-844.072003994051,471.768716859587,-943.537433719174,80.3226747255839,1,3.17998947694232e-19,"auc_rank_correct","baseline_final","rt","filteredCorrect","vit_small_patch16_224","false-colour"
"critical_fit",12,-929.583253064531,-854.117823339408,476.791626532266,-953.583253064531,11.2999412528656,1,0.000775095433773352,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","false-colour"
"critical_fit",12,-859.227036636205,-783.761606911081,441.613518318102,-883.227036636205,20.0122776426145,1,7.69465243400121e-06,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","vit_small_patch16_224","false-colour"
"critical_fit",12,-918.886173749817,-843.420744024694,471.443086874909,-942.886173749817,0.602861938151477,1,0.437488145766539,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","false-colour"
"critical_fit",12,-877.686702779433,-802.22127305431,450.843351389716,-901.686702779433,38.4719437858428,1,5.55464945228348e-10,"auc_logprob_correct","baseline_final","rt","filteredCorrect","vit_small_patch16_224","false-colour"
"critical_fit",12,-922.121671521559,-846.656241796436,473.06083576078,-946.121671521559,3.83835970989333,1,0.0500925041167367,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","false-colour"
"critical_fit",12,-860.015498586072,-784.550068860949,442.007749293036,-884.015498586072,20.8007395924818,1,5.09632792466844e-06,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","vit_small_patch16_224","false-colour"
"critical_fit",12,-940.796468521376,-865.331038796253,482.398234260688,-964.796468521376,22.5131567097103,1,2.08709222655534e-06,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","false-colour"
