"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","baseline_type","dv","data_subset","model","file_suffix"
"baseline_final_fit",17,-729.051311020505,-627.904758345753,381.525655510252,-763.051311020505,NA,NA,NA,"baseline_final","baseline_final","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit",18,-756.334905715477,-649.238555824563,396.167452857738,-792.334905715477,29.2835946949721,1,6.25227879529468e-08,"auc_entropy","baseline_final","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"baseline_midpoint_fit",17,-747.752372122444,-646.605819447693,390.876186061222,-781.752372122444,NA,NA,NA,"baseline_midpoint","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit",18,-799.277961221498,-692.181611330585,417.638980610749,-835.277961221498,53.5255890990538,1,2.55246388118908e-13,"auc_entropy","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit",18,-727.332398033405,-620.236048142492,381.666199016703,-763.332398033405,0.281087012900571,1,0.595989633584462,"layer_biggest_change_entropy","baseline_final","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit",18,-746.476434826772,-639.380084935859,391.238217413386,-782.476434826772,0.724062704327821,1,0.394814493310017,"layer_biggest_change_entropy","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit",18,-809.736488430223,-702.640138539309,422.868244215111,-845.736488430223,82.685177409718,1,9.62200930763335e-20,"auc_rank_correct","baseline_final","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit",18,-782.906149471058,-675.809799580145,409.453074735529,-818.906149471058,37.1537773486141,1,1.09171068389293e-09,"auc_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit",18,-793.192519268292,-686.096169377379,414.596259634146,-829.192519268292,66.1412082477874,1,4.19747755514495e-16,"layer_biggest_change_rank_correct","baseline_final","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit",18,-758.617446642911,-651.521096751998,397.308723321456,-794.617446642911,12.8650745204669,1,0.000334771564982741,"layer_biggest_change_rank_correct","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit",18,-773.269032810151,-666.172682919238,404.634516405076,-809.269032810151,46.2177217896465,1,1.05815523653346e-11,"auc_logprob_correct","baseline_final","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit",18,-746.388012106546,-639.291662215633,391.194006053273,-782.388012106546,0.635639984101772,1,0.425294046133064,"auc_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit",18,-732.717857832435,-625.621507941521,384.358928916217,-768.717857832435,5.66654681193017,1,0.0172914620438987,"layer_biggest_change_logprob_correct","baseline_final","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
"critical_fit",18,-754.159343889491,-647.062993998578,395.079671944745,-790.159343889491,8.40697176704657,1,0.00373784761206806,"layer_biggest_change_logprob_correct","baseline_midpoint","rt","filteredCorrect","vit_small_patch16_224","uniform-noise"
