subject_id,Session,trial,rt,object_response,category,condition,item_id,response_correct,rt_zscore,output_entropy,output_rank_correct,output_logprob_correct,midpoint_entropy,midpoint_rank_correct,midpoint_logprob_correct,auc_entropy,layer_biggest_change_entropy,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct
subject-04,1,1,1.03202104568481,boat,chair,0.45,0.45_chair_10_n04429376_694.png,False,-0.12754140506929082,2.2611584663391113,0.5,-1.7541906318891685,2.5727081298828125,0.0833333333333333,-3.2767304752579625,30.70803427696228,10.0,1.7976190476190474,10.0,32.42154161548788,6.0
subject-03,1,323,0.862236976623535,clock,chair,0.45,0.45_chair_10_n04429376_694.png,False,-0.502406633079731,2.2611584663391113,0.5,-1.7541906318891685,2.5727081298828125,0.0833333333333333,-3.2767304752579625,30.70803427696228,10.0,1.7976190476190474,10.0,32.42154161548788,6.0
subject-02,1,770,0.98894190788269,elephant,chair,0.45,0.45_chair_10_n04429376_694.png,False,0.3455862489438006,2.2611584663391113,0.5,-1.7541906318891685,2.5727081298828125,0.0833333333333333,-3.2767304752579625,30.70803427696228,10.0,1.7976190476190474,10.0,32.42154161548788,6.0
subject-01,1,243,0.827551126480103,bird,chair,0.45,0.45_chair_10_n04429376_694.png,False,-0.05794645445824784,2.2611584663391113,0.5,-1.7541906318891685,2.5727081298828125,0.0833333333333333,-3.2767304752579625,30.70803427696228,10.0,1.7976190476190474,10.0,32.42154161548788,6.0
subject-04,1,2,0.95622992515564,truck,truck,1.5,1.5_truck_10_n04467665_38886.png,True,-0.44587809636837006,2.5216598510742188,1.0,-1.5100921907917837,2.5085926055908203,0.1666666666666666,-2.7612950712116864,30.79068398475647,10.0,2.4428571428571426,10.0,30.99083146256986,10.0
subject-03,1,636,0.86385703086853,truck,truck,1.5,1.5_truck_10_n04467665_38886.png,True,-0.49510850213421165,2.5216598510742188,1.0,-1.5100921907917837,2.5085926055908203,0.1666666666666666,-2.7612950712116864,30.79068398475647,10.0,2.4428571428571426,10.0,30.99083146256986,10.0
subject-02,1,548,0.819823980331421,truck,truck,1.5,1.5_truck_10_n04467665_38886.png,True,-0.42019707402990175,2.5216598510742188,1.0,-1.5100921907917837,2.5085926055908203,0.1666666666666666,-2.7612950712116864,30.79068398475647,10.0,2.4428571428571426,10.0,30.99083146256986,10.0
subject-01,1,257,0.983031034469604,truck,truck,1.5,1.5_truck_10_n04467665_38886.png,True,0.6114592204555905,2.5216598510742188,1.0,-1.5100921907917837,2.5085926055908203,0.1666666666666666,-2.7612950712116864,30.79068398475647,10.0,2.4428571428571426,10.0,30.99083146256986,10.0
subject-04,1,3,0.958188056945801,clock,bird,0.45,0.45_bird_10_n01797886_3046.png,False,-0.437653581532658,1.1084473133087158,1.0,-0.2647446590750567,2.591730833053589,0.0666666666666666,-3.4480510324702993,29.539191246032715,10.0,3.4508658008658006,8.0,33.75428678701462,10.0
subject-03,1,608,1.16512203216553,truck,bird,0.45,0.45_bird_10_n01797886_3046.png,False,0.8620506396415193,1.1084473133087158,1.0,-0.2647446590750567,2.591730833053589,0.0666666666666666,-3.4480510324702993,29.539191246032715,10.0,3.4508658008658006,8.0,33.75428678701462,10.0
subject-02,1,325,0.656240940093994,bear,bird,0.45,0.45_bird_10_n01797886_3046.png,False,-1.1609178595136387,1.1084473133087158,1.0,-0.2647446590750567,2.591730833053589,0.0666666666666666,-3.4480510324702993,29.539191246032715,10.0,3.4508658008658006,8.0,33.75428678701462,10.0
subject-01,1,1052,0.626415014266968,bicycle,bird,0.45,0.45_bird_10_n01797886_3046.png,False,-0.9239210790037612,1.1084473133087158,1.0,-0.2647446590750567,2.591730833053589,0.0666666666666666,-3.4480510324702993,29.539191246032715,10.0,3.4508658008658006,8.0,33.75428678701462,10.0
subject-04,1,4,0.917410850524902,dog,dog,1.0,1_dog_10_n02105505_7816.png,True,-0.6089253727638293,1.0091419219970703,1.0,-0.21465574870271023,2.5258097648620605,0.125,-3.1881961566551396,28.025150895118713,9.0,2.471897546897547,9.0,31.384018960839583,9.0
subject-03,1,16,1.00289916992188,dog,dog,1.0,1_dog_10_n02105505_7816.png,True,0.1312580166977438,1.0091419219970703,1.0,-0.21465574870271023,2.5258097648620605,0.125,-3.1881961566551396,28.025150895118713,9.0,2.471897546897547,9.0,31.384018960839583,9.0
subject-02,1,205,1.15205812454224,dog,dog,1.0,1_dog_10_n02105505_7816.png,True,1.0841932093831723,1.0091419219970703,1.0,-0.21465574870271023,2.5258097648620605,0.125,-3.1881961566551396,28.025150895118713,9.0,2.471897546897547,9.0,31.384018960839583,9.0
subject-01,1,1212,,na,dog,1.0,1_dog_10_n02105505_7816.png,False,,1.0091419219970703,1.0,-0.21465574870271023,2.5258097648620605,0.125,-3.1881961566551396,28.025150895118713,9.0,2.471897546897547,9.0,31.384018960839583,9.0
subject-04,1,5,0.845407962799072,bicycle,bicycle,0.7,0.7_bicycle_10_n02835271_4656.png,True,-0.9113507872792149,0.1410117000341415,1.0,-0.018895221034799098,2.5507359504699707,0.5,-2.190072282038533,27.91016434133053,10.0,5.0095238095238095,8.0,23.80468404166862,9.0
subject-03,1,740,0.981725931167603,bicycle,bicycle,0.7,0.7_bicycle_10_n02835271_4656.png,True,0.035875365501434595,0.1410117000341415,1.0,-0.018895221034799098,2.5507359504699707,0.5,-2.190072282038533,27.91016434133053,10.0,5.0095238095238095,8.0,23.80468404166862,9.0
subject-02,1,63,1.32492804527283,bicycle,bicycle,0.7,0.7_bicycle_10_n02835271_4656.png,True,1.866965942327997,0.1410117000341415,1.0,-0.018895221034799098,2.5507359504699707,0.5,-2.190072282038533,27.91016434133053,10.0,5.0095238095238095,8.0,23.80468404166862,9.0
subject-01,1,435,1.05505299568176,boat,bicycle,0.7,0.7_bicycle_10_n02835271_4656.png,False,0.9215437206155541,0.1410117000341415,1.0,-0.018895221034799098,2.5507359504699707,0.5,-2.190072282038533,27.91016434133053,10.0,5.0095238095238095,8.0,23.80468404166862,9.0
subject-04,1,6,0.875,car,car,1.0,1_car_10_n04285008_5788.png,True,-0.7870587706739575,0.4377424120903015,1.0,-0.07870386575482032,2.5080394744873047,0.1,-3.120757679660077,27.84432953596115,10.0,2.2543761793761794,9.0,35.905763526306366,9.0
subject-03,1,122,0.982913970947266,car,car,1.0,1_car_10_n04285008_5788.png,True,0.041227328194815296,0.4377424120903015,1.0,-0.07870386575482032,2.5080394744873047,0.1,-3.120757679660077,27.84432953596115,10.0,2.2543761793761794,9.0,35.905763526306366,9.0
subject-02,1,749,0.879189014434814,car,car,1.0,1_car_10_n04285008_5788.png,True,-0.15138611032907356,0.4377424120903015,1.0,-0.07870386575482032,2.5080394744873047,0.1,-3.120757679660077,27.84432953596115,10.0,2.2543761793761794,9.0,35.905763526306366,9.0
subject-01,1,1224,0.569567918777466,car,car,1.0,1_car_10_n04285008_5788.png,True,-1.1686714703251344,0.4377424120903015,1.0,-0.07870386575482032,2.5080394744873047,0.1,-3.120757679660077,27.84432953596115,10.0,2.2543761793761794,9.0,35.905763526306366,9.0
subject-04,1,7,1.25690698623657,cat,bear,0.45,0.45_bear_10_n02134418_7067.png,False,0.8170210414956178,2.373647689819336,0.1666666666666666,-2.9981026367415544,2.55263614654541,0.5,-2.162228299592065,30.802293062210083,9.0,3.5555555555555554,4.0,28.79841336701659,4.0
subject-03,1,76,0.725682020187378,bear,bear,0.45,0.45_bear_10_n02134418_7067.png,True,-1.117568721886104,2.373647689819336,0.1666666666666666,-2.9981026367415544,2.55263614654541,0.5,-2.162228299592065,30.802293062210083,9.0,3.5555555555555554,4.0,28.79841336701659,4.0
subject-02,1,299,0.53410005569458,bear,bear,0.45,0.45_bear_10_n02134418_7067.png,True,-1.7139843124949468,2.373647689819336,0.1666666666666666,-2.9981026367415544,2.55263614654541,0.5,-2.162228299592065,30.802293062210083,9.0,3.5555555555555554,4.0,28.79841336701659,4.0
subject-01,1,1177,0.635467052459717,cat,bear,0.45,0.45_bear_10_n02134418_7067.png,False,-0.8849482894381012,2.373647689819336,0.1666666666666666,-2.9981026367415544,2.55263614654541,0.5,-2.162228299592065,30.802293062210083,9.0,3.5555555555555554,4.0,28.79841336701659,4.0
subject-04,1,8,1.30092215538025,car,dog,0.55,0.55_dog_10_n02109525_13146.png,False,1.0018928736355803,2.270937919616699,0.1428571428571428,-3.4064377676776956,2.563502550125122,0.1111111111111111,-3.077831987896237,30.545398712158203,9.0,0.49134199134199125,10.0,37.816671915350916,6.0
subject-03,1,873,1.49195694923401,car,dog,0.55,0.55_dog_10_n02109525_13146.png,False,2.334398883351757,2.270937919616699,0.1428571428571428,-3.4064377676776956,2.563502550125122,0.1111111111111111,-3.077831987896237,30.545398712158203,9.0,0.49134199134199125,10.0,37.816671915350916,6.0
subject-02,1,364,1.15280389785767,truck,dog,0.55,0.55_dog_10_n02109525_13146.png,False,1.087570147452035,2.270937919616699,0.1428571428571428,-3.4064377676776956,2.563502550125122,0.1111111111111111,-3.077831987896237,30.545398712158203,9.0,0.49134199134199125,10.0,37.816671915350916,6.0
subject-01,1,1097,0.689648866653442,clock,dog,0.55,0.55_dog_10_n02109525_13146.png,False,-0.6516730427042542,2.270937919616699,0.1428571428571428,-3.4064377676776956,2.563502550125122,0.1111111111111111,-3.077831987896237,30.545398712158203,9.0,0.49134199134199125,10.0,37.816671915350916,6.0
subject-04,1,9,0.89652681350708,bear,bear,3.0,3_bear_10_n02134418_47.png,True,-0.696642181788473,2.434126853942871,1.0,-1.6123843939211364,2.534420967102051,0.5,-2.0893706189346295,30.783865213394165,10.0,6.999999999999999,8.0,24.0714915608713,10.0
subject-03,1,460,0.738322973251343,cat,bear,3.0,3_bear_10_n02134418_47.png,False,-1.060622893669553,2.434126853942871,1.0,-1.6123843939211364,2.534420967102051,0.5,-2.0893706189346295,30.783865213394165,10.0,6.999999999999999,8.0,24.0714915608713,10.0
subject-02,1,422,1.10340118408203,dog,bear,3.0,3_bear_10_n02134418_47.png,False,0.8638695920655608,2.434126853942871,1.0,-1.6123843939211364,2.534420967102051,0.5,-2.0893706189346295,30.783865213394165,10.0,6.999999999999999,8.0,24.0714915608713,10.0
subject-01,1,329,0.782505035400391,elephant,bear,3.0,3_bear_10_n02134418_47.png,False,-0.2518886132321072,2.434126853942871,1.0,-1.6123843939211364,2.534420967102051,0.5,-2.0893706189346295,30.783865213394165,10.0,6.999999999999999,8.0,24.0714915608713,10.0
subject-04,1,10,0.854450941085815,car,oven,0.55,0.55_oven_10_n04111531_2371.png,False,-0.8733686098527284,2.416719913482666,1.0,-1.5671958803875365,2.526487350463867,0.0625,-5.673259634020079,30.692795753479004,10.0,1.224679487179487,10.0,43.452532466353716,6.0
