subject_id,Session,trial,rt,object_response,category,condition,item_id,response_correct,rt_zscore,output_entropy,output_rank_correct,output_logprob_correct,midpoint_entropy,midpoint_rank_correct,midpoint_logprob_correct,auc_entropy,layer_biggest_change_entropy,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct
subject-04,1,1,1.03202104568481,boat,chair,0.45,0.45_chair_10_n04429376_694.png,False,-0.12754140506929082,2.118889331817627,0.5,-1.5852567308753447,1.3226773738861084,0.125,-4.8143692353342304,26.15731167793274,4.0,0.6978687978687976,10.0,45.629043617820216,10.0
subject-03,1,323,0.862236976623535,clock,chair,0.45,0.45_chair_10_n04429376_694.png,False,-0.502406633079731,2.118889331817627,0.5,-1.5852567308753447,1.3226773738861084,0.125,-4.8143692353342304,26.15731167793274,4.0,0.6978687978687976,10.0,45.629043617820216,10.0
subject-02,1,770,0.98894190788269,elephant,chair,0.45,0.45_chair_10_n04429376_694.png,False,0.3455862489438006,2.118889331817627,0.5,-1.5852567308753447,1.3226773738861084,0.125,-4.8143692353342304,26.15731167793274,4.0,0.6978687978687976,10.0,45.629043617820216,10.0
subject-01,1,243,0.827551126480103,bird,chair,0.45,0.45_chair_10_n04429376_694.png,False,-0.05794645445824784,2.118889331817627,0.5,-1.5852567308753447,1.3226773738861084,0.125,-4.8143692353342304,26.15731167793274,4.0,0.6978687978687976,10.0,45.629043617820216,10.0
subject-04,1,2,0.95622992515564,truck,truck,1.5,1.5_truck_10_n04467665_38886.png,True,-0.44587809636837006,1.5085688829421997,0.3333333333333333,-2.3602100640741344,1.849506974220276,0.0769230769230769,-4.464905939562251,26.740339517593384,10.0,1.0744560994560992,9.0,42.706033353528724,6.0
subject-03,1,636,0.86385703086853,truck,truck,1.5,1.5_truck_10_n04467665_38886.png,True,-0.49510850213421165,1.5085688829421997,0.3333333333333333,-2.3602100640741344,1.849506974220276,0.0769230769230769,-4.464905939562251,26.740339517593384,10.0,1.0744560994560992,9.0,42.706033353528724,6.0
subject-02,1,548,0.819823980331421,truck,truck,1.5,1.5_truck_10_n04467665_38886.png,True,-0.42019707402990175,1.5085688829421997,0.3333333333333333,-2.3602100640741344,1.849506974220276,0.0769230769230769,-4.464905939562251,26.740339517593384,10.0,1.0744560994560992,9.0,42.706033353528724,6.0
subject-01,1,257,0.983031034469604,truck,truck,1.5,1.5_truck_10_n04467665_38886.png,True,0.6114592204555905,1.5085688829421997,0.3333333333333333,-2.3602100640741344,1.849506974220276,0.0769230769230769,-4.464905939562251,26.740339517593384,10.0,1.0744560994560992,9.0,42.706033353528724,6.0
subject-04,1,3,0.958188056945801,clock,bird,0.45,0.45_bird_10_n01797886_3046.png,False,-0.437653581532658,1.6607685089111328,0.1666666666666666,-3.418438717090506,1.441246747970581,0.1,-4.997750367193333,26.537400007247925,10.0,0.6269591519591516,9.0,43.10922224993001,6.0
subject-03,1,608,1.16512203216553,truck,bird,0.45,0.45_bird_10_n01797886_3046.png,False,0.8620506396415193,1.6607685089111328,0.1666666666666666,-3.418438717090506,1.441246747970581,0.1,-4.997750367193333,26.537400007247925,10.0,0.6269591519591516,9.0,43.10922224993001,6.0
