subject_id,session,trial,rt,object_response,category,condition,item_id,response_correct,rt_zscore,output_entropy,output_rank_correct,output_logprob_correct,midpoint_entropy,midpoint_rank_correct,midpoint_logprob_correct,auc_entropy,layer_biggest_change_entropy,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct
subject-02,1,1,1.4882390499115,bear,bear,0,bear3.png,True,2.236266491909835,1.3393901586532593,0.1,-4.657837519667407,1.890092730522156,0.1,-4.214235411438857,26.709384202957153,10.0,0.5642246642246639,0.0,42.836084711147606,0.0
subject-06,1,152,0.783299922943115,bear,bear,0,bear3.png,True,-0.3848132282371456,1.3393901586532593,0.1,-4.657837519667407,1.890092730522156,0.1,-4.214235411438857,26.709384202957153,10.0,0.5642246642246639,0.0,42.836084711147606,0.0
subject-01,1,134,0.748464107513428,bear,bear,0,bear3.png,True,-0.2784406445045133,1.3393901586532593,0.1,-4.657837519667407,1.890092730522156,0.1,-4.214235411438857,26.709384202957153,10.0,0.5642246642246639,0.0,42.836084711147606,0.0
subject-05,1,104,1.38831210136414,dog,bear,0,bear3.png,False,1.6777434427538067,1.3393901586532593,0.1,-4.657837519667407,1.890092730522156,0.1,-4.214235411438857,26.709384202957153,10.0,0.5642246642246639,0.0,42.836084711147606,0.0
subject-08,1,61,1.22859907150269,bear,bear,0,bear3.png,True,1.138021264602907,1.3393901586532593,0.1,-4.657837519667407,1.890092730522156,0.1,-4.214235411438857,26.709384202957153,10.0,0.5642246642246639,0.0,42.836084711147606,0.0
subject-09,1,60,0.51078200340271,elephant,bear,0,bear3.png,False,-1.5002717911041625,1.3393901586532593,0.1,-4.657837519667407,1.890092730522156,0.1,-4.214235411438857,26.709384202957153,10.0,0.5642246642246639,0.0,42.836084711147606,0.0
subject-04,1,154,0.992640972137451,bear,bear,0,bear3.png,True,0.3006273619308012,1.3393901586532593,0.1,-4.657837519667407,1.890092730522156,0.1,-4.214235411438857,26.709384202957153,10.0,0.5642246642246639,0.0,42.836084711147606,0.0
subject-10,1,49,0.646453857421875,bear,bear,0,bear3.png,True,-0.9117894400005704,1.3393901586532593,0.1,-4.657837519667407,1.890092730522156,0.1,-4.214235411438857,26.709384202957153,10.0,0.5642246642246639,0.0,42.836084711147606,0.0
subject-07,1,145,0.634361982345581,bear,bear,0,bear3.png,True,-1.0283254384695353,1.3393901586532593,0.1,-4.657837519667407,1.890092730522156,0.1,-4.214235411438857,26.709384202957153,10.0,0.5642246642246639,0.0,42.836084711147606,0.0
subject-03,1,154,0.667145013809204,bear,bear,0,bear3.png,True,-0.5712462306135512,1.3393901586532593,0.1,-4.657837519667407,1.890092730522156,0.1,-4.214235411438857,26.709384202957153,10.0,0.5642246642246639,0.0,42.836084711147606,0.0
subject-02,1,2,0.756563901901245,airplane,airplane,0,airplane2.png,True,-0.9474271300923377,0.1645315885543823,1.0,-0.026007845974765846,1.8910377025604248,0.3333333333333333,-1.8058187975630529,25.384248852729797,10.0,4.699999999999999,0.0,23.487848896476102,10.0
subject-06,1,78,1.25446915626526,airplane,airplane,0,airplane2.png,True,1.5776310794930548,0.1645315885543823,1.0,-0.026007845974765846,1.8910377025604248,0.3333333333333333,-1.8058187975630529,25.384248852729797,10.0,4.699999999999999,0.0,23.487848896476102,10.0
subject-01,1,81,0.892848014831543,airplane,airplane,0,airplane2.png,True,0.6231568725353028,0.1645315885543823,1.0,-0.026007845974765846,1.8910377025604248,0.3333333333333333,-1.8058187975630529,25.384248852729797,10.0,4.699999999999999,0.0,23.487848896476102,10.0
subject-05,1,132,1.34412407875061,airplane,airplane,0,airplane2.png,True,1.4522172155341002,0.1645315885543823,1.0,-0.026007845974765846,1.8910377025604248,0.3333333333333333,-1.8058187975630529,25.384248852729797,10.0,4.699999999999999,0.0,23.487848896476102,10.0
subject-08,1,124,1.41381001472473,cat,airplane,0,airplane2.png,False,1.9125926963267113,0.1645315885543823,1.0,-0.026007845974765846,1.8910377025604248,0.3333333333333333,-1.8058187975630529,25.384248852729797,10.0,4.699999999999999,0.0,23.487848896476102,10.0
subject-09,1,117,0.757713079452515,airplane,airplane,0,airplane2.png,True,-0.458367023176171,0.1645315885543823,1.0,-0.026007845974765846,1.8910377025604248,0.3333333333333333,-1.8058187975630529,25.384248852729797,10.0,4.699999999999999,0.0,23.487848896476102,10.0
subject-04,1,1,1.06918811798096,airplane,airplane,0,airplane2.png,True,0.7975899552708671,0.1645315885543823,1.0,-0.026007845974765846,1.8910377025604248,0.3333333333333333,-1.8058187975630529,25.384248852729797,10.0,4.699999999999999,0.0,23.487848896476102,10.0
subject-10,1,107,0.818277835845947,airplane,airplane,0,airplane2.png,True,-0.02060930864482752,0.1645315885543823,1.0,-0.026007845974765846,1.8910377025604248,0.3333333333333333,-1.8058187975630529,25.384248852729797,10.0,4.699999999999999,0.0,23.487848896476102,10.0
subject-07,1,63,1.12592601776123,airplane,airplane,0,airplane2.png,True,1.4308509005909915,0.1645315885543823,1.0,-0.026007845974765846,1.8910377025604248,0.3333333333333333,-1.8058187975630529,25.384248852729797,10.0,4.699999999999999,0.0,23.487848896476102,10.0
subject-03,1,50,0.71658992767334,airplane,airplane,0,airplane2.png,True,-0.34782168157529003,0.1645315885543823,1.0,-0.026007845974765846,1.8910377025604248,0.3333333333333333,-1.8058187975630529,25.384248852729797,10.0,4.699999999999999,0.0,23.487848896476102,10.0
subject-02,1,3,0.708386182785034,cat,cat,0,cat6.png,True,-1.1570599124685181,1.67706298828125,0.3333333333333333,-2.688721181732502,1.9069496393203735,0.1428571428571428,-3.7892574939764354,27.14610254764557,10.0,2.3218253968253966,9.0,36.07461608386541,6.0
subject-06,1,138,0.667901992797852,cat,cat,0,cat6.png,True,-0.8654515957737277,1.67706298828125,0.3333333333333333,-2.688721181732502,1.9069496393203735,0.1428571428571428,-3.7892574939764354,27.14610254764557,10.0,2.3218253968253966,9.0,36.07461608386541,6.0
subject-01,1,71,0.894155979156494,cat,cat,0,cat6.png,True,0.6313243851733583,1.67706298828125,0.3333333333333333,-2.688721181732502,1.9069496393203735,0.1428571428571428,-3.7892574939764354,27.14610254764557,10.0,2.3218253968253966,9.0,36.07461608386541,6.0
subject-05,1,144,0.834008932113647,cat,cat,0,cat6.png,True,-1.1513015133948532,1.67706298828125,0.3333333333333333,-2.688721181732502,1.9069496393203735,0.1428571428571428,-3.7892574939764354,27.14610254764557,10.0,2.3218253968253966,9.0,36.07461608386541,6.0
subject-08,1,13,0.73754096031189,cat,cat,0,cat6.png,True,-0.9156348403101346,1.67706298828125,0.3333333333333333,-2.688721181732502,1.9069496393203735,0.1428571428571428,-3.7892574939764354,27.14610254764557,10.0,2.3218253968253966,9.0,36.07461608386541,6.0
subject-09,1,75,1.05202388763428,cat,cat,0,cat6.png,True,0.7834525128771715,1.67706298828125,0.3333333333333333,-2.688721181732502,1.9069496393203735,0.1428571428571428,-3.7892574939764354,27.14610254764557,10.0,2.3218253968253966,9.0,36.07461608386541,6.0
