subject_id,Session,trial,rt,object_response,category,condition,item_id,response_correct,rt_zscore,output_entropy,output_rank_correct,output_logprob_correct,auc_entropy,layer_biggest_change_entropy,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct
subject-01,1,1,0.828052043914795,oven,oven,1-10-10,1-10-10_oven_10_n04111531_17072.png,True,-0.4227482683495018,0.0053649405017495,1.0,-0.00048529954724988697,26.014070198871195,9,3.8712662337662334,8,29.818613165879942,6
subject-01,1,2,0.925548076629639,boat,airplane,16-10-10,16-10-10_airplane_10_n02690373_4183.png,False,0.0511567988974066,2.1286542415618896,1.0,-1.1859240314750383,29.878851175308228,9,3.61025641025641,9,29.89986886247604,3
subject-01,1,3,0.775381088256836,car,car,8-10-10,8-10-10_car_10_n03100240_1137.png,True,-0.6787692785176788,2.513396978378296,0.5,-2.1603120086291847,29.969392776489258,4,1.9081349206349203,9,42.37159412984507,7
subject-01,1,4,0.519556999206543,clock,clock,2-10-10,2-10-10_clock_10_n04548280_7083.png,True,-1.922269436922583,0.1579302251338958,1.0,-0.021301172010396965,26.4544697701931,9,4.886446886446886,6,30.505113698888998,9
subject-01,1,5,0.72134804725647,bottle,bottle,2-10-10,2-10-10_bottle_10_n02823428_7810.png,True,-0.9414110621451967,0.3469841778278351,1.0,-0.05978420312384608,26.696432024240494,9,4.432081807081807,7,26.82584972256616,0
subject-01,1,6,1.26470518112183,boat,dog,128-10-10,128-10-10_dog_10_n02091244_8368.png,False,1.699718960208482,2.4290337562561035,0.1428571428571428,-2.9631477636619774,30.828289270401,10,1.2158730158730156,8,34.41513541958431,0
subject-01,1,7,0.738478899002075,bicycle,bicycle,1-10-10,1-10-10_bicycle_10_n02835271_2930.png,True,-0.8581420590644002,0.0224849358201026,1.0,-0.0023256143621447406,24.887219075113535,9,7.666666666666666,6,18.75384596611406,8
subject-01,1,8,0.642343997955322,oven,knife,4-10-10,4-10-10_knife_10_n03041632_52848.png,False,-1.3254309884363942,1.2270536422729492,0.3333333333333333,-3.714558201258237,28.926571130752563,10,1.9678571428571425,5,32.8575827448546,5
subject-01,1,9,0.56015682220459,bottle,bottle,2-10-10,2-10-10_bottle_10_n02823428_4097.png,True,-1.7249233366522627,0.0717318654060363,1.0,-0.00863682920257251,24.694119706749916,9,4.7709706959706955,7,23.883929906781162,0
subject-01,1,10,1.02044796943665,dog,dog,8-10-10,8-10-10_dog_10_n02105641_10264.png,True,0.5124426464351147,0.7031204700469971,1.0,-0.13260389777102088,26.59764015674591,9,4.394877344877345,8,26.182105801419226,9
