subject_id,Session,trial,rt,object_response,category,condition,item_id,response_correct,rt_zscore,output_entropy,output_rank_correct,output_logprob_correct,auc_entropy,layer_biggest_change_entropy,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct
subject-03,1,1,1.02795696258545,boat,bottle,60,60_bottle_10_n02823428_889.png,False,1.0785328641467875,2.339867115020752,0.2,-2.225946177432834,28.700841188430786,10,5.1499999999999995,0,24.930414318237172,10
subject-03,1,2,0.91179895401001,airplane,airplane,90,90_airplane_10_n02690373_1696.png,True,0.472583919724143,0.0179620254784822,1.0,-0.0020028727316379518,26.02489678747952,10,5.416666666666666,0,24.330018753758804,10
subject-03,1,3,0.539807081222534,knife,knife,30,30_knife_10_n03041632_20770.png,True,-1.4679459276258133,0.5613730549812317,1.0,-0.21347029710112994,25.7284477353096,10,2.5758658008658006,10,35.31888243856288,10
subject-03,1,4,0.937772989273071,bottle,truck,150,150_truck_10_n03417042_1279.png,False,0.6080798656608065,0.1153581589460372,0.0769230769230769,-7.804445365576224,25.534582421183586,10,0.17399267399267368,5,53.17008192006646,6
subject-03,1,5,0.601234912872314,bicycle,bicycle,30,30_bicycle_10_n03792782_8374.png,True,-1.147501989210824,0.0489206612110137,1.0,-0.0060596707566602775,25.71585276722908,10,2.2539432789432787,10,31.49016557261961,10
subject-03,1,6,0.961323976516724,elephant,elephant,30,30_elephant_10_n02504458_7033.png,True,0.7309357585554789,0.0001811640104278,1.0,-1.239784296610773e-05,26.213376964791678,10,4.668686868686868,7,30.368392571621598,10
subject-03,1,7,0.928899765014648,boat,car,180,180_car_10_n04285008_11770.png,False,0.5617918745101591,2.1721391677856445,0.1111111111111111,-3.3921159392651803,28.24470353126526,10,0.26108613608613573,7,49.04592563031374,6
subject-03,1,8,0.857043981552124,bottle,bottle,30,30_bottle_10_n04591713_5558.png,True,0.18694956554012923,0.0738227888941764,1.0,-0.012539296041019204,25.520350269973278,10,6.616666666666666,9,20.249224707032173,10
subject-03,1,9,0.71644401550293,boat,airplane,150,150_airplane_10_n02690373_9432.png,False,-0.5465030999989584,0.6297329664230347,0.125,-4.991211417453345,26.191317081451416,10,2.7734126984126983,0,32.83044239126156,6
subject-03,1,10,0.708317995071411,airplane,airplane,60,60_airplane_10_n02690373_10399.png,True,-0.5888932336042351,0.0100044291466474,1.0,-0.0010719081735458963,25.61672273091972,10,4.426190476190476,0,25.21852293517836,10
subject-03,1,11,0.704149007797241,clock,bear,120,120_bear_10_n02132136_3616.png,False,-0.6106411394875741,2.3942666053771973,1.0,-1.1989086839598204,28.57956111431122,10,2.5884920634920636,10,33.022495329536504,10
subject-03,1,12,0.930129051208496,knife,knife,0,0_knife_10_n03041632_62810.png,True,0.5682045590998037,1.0478365421295166,1.0,-0.4248013496188625,26.647035360336304,10,2.6865440115440116,10,34.016393276530934,10
subject-03,1,13,0.789925098419189,boat,bird,180,180_bird_10_n01534433_10801.png,False,-0.16318226681488932,2.094799757003784,0.2,-3.094951176672246,28.88237237930298,10,1.217460317460317,4,34.49845581053144,0
subject-03,1,14,0.875602006912231,keyboard,keyboard,0,0_keyboard_10_n04505470_9514.png,True,0.28375921315234837,0.0001318850845564,1.0,-9.000341864150329e-06,22.611297766241478,9,3.7920995670995667,8,36.079295188721076,9
subject-03,1,15,0.805247068405151,boat,bottle,60,60_bottle_10_n03983396_2205.png,False,-0.0832537999503828,0.0718575716018676,0.1666666666666666,-7.230131014225551,26.019001245498657,10,4.033333333333333,1,30.425046780769257,1
subject-03,1,16,0.687397956848145,bird,bird,90,90_bird_10_n01530575_35115.png,True,-0.6980245387474061,0.0304399915039539,1.0,-0.003532861229139966,26.463463682681322,10,2.3507936507936504,10,32.16058145732461,10
subject-03,1,17,0.668954849243164,cat,cat,90,90_cat_10_n02123394_702.png,True,-0.7942347073114909,0.0008539927657693,1.0,-6.729590827025756e-05,26.7175900710281,10,5.322222222222222,6,29.274307660430683,10
subject-03,1,18,0.766785144805908,clock,dog,150,150_dog_10_n02109525_40708.png,False,-0.2838939649398627,1.9530385732650757,0.1428571428571428,-3.332684397989905,27.80250120162964,10,0.8559884559884557,7,39.57762604508557,6
subject-03,1,19,0.626622915267944,bear,bear,0,0_bear_10_n02134418_2324.png,True,-1.015063137673176,0.0002895967627409,1.0,-2.3007657557313048e-05,26.194901146140182,10,3.2206349206349207,9,28.43074281150116,10
subject-03,1,20,0.664427042007446,cat,cat,0,0_cat_10_n02123394_6517.png,True,-0.8178544305546855,0.1392478197813034,1.0,-0.023102701374707515,25.769127294421196,10,5.3579365079365076,6,27.24127955898387,10
subject-03,1,21,0.914345979690552,car,car,0,0_car_10_n04285008_1867.png,True,0.4858707136479509,0.0071575227193534,1.0,-0.0008363644028402778,25.302782255690545,10,3.5178571428571423,8,38.983314613347055,6
subject-03,1,22,0.870031833648682,cat,knife,30,30_knife_10_n03041632_3063.png,False,0.2547018915720918,1.4290601015090942,1.0,-0.5057034864307355,27.48936438560486,10,2.320310245310245,10,34.99940302562286,10
subject-03,1,23,1.29394793510437,boat,keyboard,150,150_keyboard_10_n04505470_1076.png,False,2.466099257548874,2.2980120182037354,0.1428571428571428,-3.16768565555861,27.580590963363647,4,0.8060245310245306,8,40.54795577433925,6
subject-03,1,24,0.97188401222229,oven,oven,150,150_oven_10_n04111531_15296.png,True,0.78602315689614,2.1348369121551514,0.0625,-6.1688853905561505,28.205699920654297,10,0.0,0,66.50274609188943,7
subject-03,1,25,1.04346299171448,elephant,knife,90,90_knife_10_n03041632_25498.png,False,1.159421492474297,1.4074366092681885,0.25,-3.176526823132051,27.48553764820099,10,1.6186868686868685,7,36.73457341327811,6
subject-03,1,26,0.701529979705811,truck,truck,60,60_truck_10_n03417042_18374.png,True,-0.6243035406158146,0.7460469007492065,0.5,-1.9054132577293799,25.975549817085266,10,0.7895604395604393,10,45.411024153641016,6
subject-03,1,27,1.16704797744751,bird,boat,150,150_boat_10_n04273569_62.png,False,1.8041139469147622,2.2742505073547363,0.25,-2.3724354372182423,28.91344165802002,10,2.5020202020202023,0,30.628311395084165,10
subject-03,1,28,0.948935985565186,bear,bear,180,180_bear_10_n02132136_20883.png,True,0.6663126634055089,2.4347586631774902,0.25,-2.0848372392448677,28.561889171600342,4,1.2718253968253965,5,34.856933536761595,6
subject-03,1,29,0.798708915710449,car,car,60,60_car_10_n02814533_38071.png,True,-0.11736067533862382,0.154741883277893,1.0,-0.034437857739820756,25.826998114585876,10,2.183125208125208,9,42.83188236816319,10
subject-03,1,30,0.876748085021973,knife,cat,180,180_cat_10_n02123597_3944.png,False,0.28973783511170326,0.9927570819854736,0.2,-3.7879221346588436,26.23470175266266,10,2.544047619047619,6,33.50566755190846,0
