item_id,profession,profession_bias,condition,cue,prefix,correct,incorrect,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,task
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,0,7.2244086,10864,[1.9001777172088623],[7.266396999359131],1619,[4.2356743812561035],[6.074485778808594],-11.935865,-9.600369,incorrect,False,-11.935865,-9.600369,incorrect,False,-11.935865,-9.600369,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,1,5.321059,3044,[5.539284706115723],[2.97244930267334],1388,[6.550390720367432],[2.400651454925537],-10.974837,-9.963732,incorrect,False,-10.974837,-9.963732,incorrect,False,-10.974837,-9.963732,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,2,6.2215242,3653,[5.299073219299316],[1.8969727754592896],2628,[5.737953186035156],[0.4944721460342407],-10.931629,-10.492749,incorrect,False,-10.931629,-10.492749,incorrect,False,-10.931629,-10.492749,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,3,5.7450914,2568,[4.869110107421875],[7.870209217071533],3096,[4.627061367034912],[4.237325668334961],-10.61355,-10.855598,correct,True,-10.61355,-10.855598,correct,True,-10.61355,-10.855598,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,4,6.9343452,428,[7.0615692138671875],[2.243654727935791],1520,[5.611028671264648],[1.1299943923950195],-8.245143,-9.6956835,correct,True,-8.245143,-9.6956835,correct,True,-8.245143,-9.6956835,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,5,6.730565,500,[6.907994270324707],[0.9510716795921326],2083,[5.268070220947266],[3.959831476211548],-8.4815,-10.121424,correct,True,-8.4815,-10.121424,correct,True,-8.4815,-10.121424,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,6,5.949121,393,[7.317011833190918],[1.7907298803329468],703,[6.659842014312744],[1.5756523609161377],-8.420426,-9.077597,correct,True,-8.420426,-9.077597,correct,True,-8.420426,-9.077597,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,7,6.0441976,332,[7.5320892333984375],[-0.4683789908885956],658,[6.838175296783447],[0.15217970311641693],-8.239513,-8.933427,correct,True,-8.239513,-8.933427,correct,True,-8.239513,-8.933427,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,8,6.6272125,319,[7.223871231079102],[-1.4503895044326782],480,[6.739590644836426],[-0.9097957015037537],-7.982701,-8.466982,correct,True,-7.982701,-8.466982,correct,True,-7.982701,-8.466982,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,9,6.412248,1383,[5.755038738250732],[2.432309865951538],1664,[5.512545108795166],[1.6687406301498413],-9.7245655,-9.967059,correct,True,-9.7245655,-9.967059,correct,True,-9.7245655,-9.967059,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,10,5.848068,657,[6.397185325622559],[-0.08288051933050156],944,[5.9656662940979],[-0.9632741212844849],-8.966826,-9.398346,correct,True,-8.966826,-9.398346,correct,True,-8.966826,-9.398346,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,11,5.5025043,1087,[6.267459392547607],[0.8837376832962036],1834,[5.621025085449219],[9.685925483703613],-9.656461,-10.302895,correct,True,-9.656461,-10.302895,correct,True,-9.656461,-10.302895,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,12,6.21371,2366,[5.802510738372803],[4.945139408111572],440,[7.834979057312012],[1.9893510341644287],-10.482196,-8.449727,incorrect,False,-10.482196,-8.449727,incorrect,False,-10.482196,-8.449727,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,13,5.240178,1440,[6.291343688964844],[-1.7308599948883057],801,[7.027092933654785],[0.9181787967681885],-10.041288,-9.305539,incorrect,False,-10.041288,-9.305539,incorrect,False,-10.041288,-9.305539,incorrect,False,gender
