item_id,profession,profession_bias,condition,cue,prefix,correct,incorrect,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,task
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,0,7.602653,14968,[-0.46680748462677],[1.9051153659820557],767,[2.2999067306518555],[1.5697286128997803],-11.793821,-9.027107,incorrect,False,-11.793821,-9.027107,incorrect,False,-11.793821,-9.027107,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,1,7.7044535,8263,[0.9725086688995361],[-0.9701656103134155],719,[3.2682485580444336],[-3.1122050285339355],-11.072761,-8.77702,incorrect,False,-11.072761,-8.77702,incorrect,False,-11.072761,-8.77702,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,2,7.92351,14879,[0.2666603922843933],[0.15371984243392944],9711,[0.9666236639022827],[0.15271547436714172],-11.962502,-11.262539,incorrect,False,-11.962502,-11.262539,incorrect,False,-11.962502,-11.262539,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,3,7.950938,13736,[0.2725946009159088],[0.6198237538337708],9933,[0.8039640784263611],[1.0568119287490845],-11.804689,-11.273321,incorrect,False,-11.804689,-11.273321,incorrect,False,-11.804689,-11.273321,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,4,8.698624,10412,[0.5317227840423584],[0.7542737722396851],6699,[1.1463195085525513],[4.291244983673096],-11.187332,-10.572736,incorrect,False,-11.187332,-10.572736,incorrect,False,-11.187332,-10.572736,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,5,8.062284,10296,[0.8011342287063599],[3.3261706829071045],1323,[3.0209248065948486],[2.340904712677002],-11.32547,-9.10568,incorrect,False,-11.32547,-9.10568,incorrect,False,-11.32547,-9.10568,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,6,8.399761,2690,[2.2287988662719727],[0.694709300994873],496,[3.7295823097229004],[-0.9590542316436768],-9.652611,-8.151827,incorrect,False,-9.652611,-8.151827,incorrect,False,-9.652611,-8.151827,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,7,8.549263,2629,[2.2683939933776855],[1.6205569505691528],1414,[2.826404333114624],[-0.26465293765068054],-9.588877,-9.030867,incorrect,False,-9.588877,-9.030867,incorrect,False,-9.588877,-9.030867,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,8,8.607084,1637,[2.839202642440796],[-0.5288650989532471],2867,[2.288532257080078],[0.3112976849079132],-9.109762,-9.660433,correct,True,-9.109762,-9.660433,correct,True,-9.109762,-9.660433,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,9,8.375679,3464,[2.2407171726226807],[1.1370697021484375],3579,[2.205951452255249],[0.32226651906967163],-9.918888,-9.953653,correct,True,-9.918888,-9.953653,correct,True,-9.918888,-9.953653,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,10,8.407349,2505,[2.4873580932617188],[1.1393507719039917],3821,[2.0200886726379395],[-0.401303768157959],-9.5801525,-10.047422,correct,True,-9.5801525,-10.047422,correct,True,-9.5801525,-10.047422,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,11,8.5027275,1139,[3.0589253902435303],[0.19639156758785248],3956,[1.8413219451904297],[0.3886115849018097],-8.822063,-10.039666,correct,True,-8.822063,-10.039666,correct,True,-8.822063,-10.039666,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,12,8.548216,1199,[2.721339702606201],[0.09278485178947449],3104,[1.7746012210845947],[3.766066551208496],-8.815498,-9.762237,correct,True,-8.815498,-9.762237,correct,True,-8.815498,-9.762237,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,13,8.543943,1648,[2.4356539249420166],[1.1505274772644043],542,[3.4022674560546875],[3.366572141647339],-9.13081,-8.164197,incorrect,False,-9.13081,-8.164197,incorrect,False,-9.13081,-8.164197,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,14,8.439775,1356,[2.7024497985839844],[2.636209487915039],130,[4.567187786102295],[6.076589107513428],-8.990022,-7.125284,incorrect,False,-8.990022,-7.125284,incorrect,False,-8.990022,-7.125284,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,15,8.080545,678,[3.4209203720092773],[0.9664556384086609],7,[6.494102478027344],[4.9101386070251465],-8.473728,-5.400546,incorrect,False,-8.473728,-5.400546,incorrect,False,-8.473728,-5.400546,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,16,7.7459326,1210,[3.204669952392578],[0.7568771839141846],11,[7.2934465408325195],[3.373072385787964],-9.116947,-5.0281706,incorrect,False,-9.116947,-5.0281706,incorrect,False,-9.116947,-5.0281706,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,17,7.5097027,1310,[2.967726707458496],[2.76674222946167],10,[7.354413986206055],[6.684920787811279],-9.22254,-4.835853,incorrect,False,-9.22254,-4.835853,incorrect,False,-9.22254,-4.835853,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,18,7.129204,984,[3.378106117248535],[6.645550727844238],6,[8.319790840148926],[6.09902286529541],-9.074345,-4.1326604,incorrect,False,-9.074345,-4.1326604,incorrect,False,-9.074345,-4.1326604,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,19,6.6561017,208,[4.821329116821289],[6.1799163818359375],5,[8.792637825012207],[7.137932300567627],-7.7905865,-3.8192775,incorrect,False,-7.7905865,-3.8192775,incorrect,False,-7.7905865,-3.8192775,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,20,6.796976,71,[5.695379257202148],[2.3929097652435303],6,[9.295873641967773],[5.01505708694458],-6.881709,-3.2812145,incorrect,False,-6.881709,-3.2812145,incorrect,False,-6.881709,-3.2812145,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,21,6.6217384,84,[5.648216724395752],[4.737833499908447],5,[9.455995559692383],[7.357547283172607],-6.9855995,-3.1778204,incorrect,False,-6.9855995,-3.1778204,incorrect,False,-6.9855995,-3.1778204,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,22,4.913783,58,[6.007415294647217],[0.9214774370193481],4,[9.90665340423584],[-0.799889862537384],-7.0488353,-3.1495972,incorrect,False,-7.0488353,-3.1495972,incorrect,False,-7.0488353,-3.1495972,incorrect,False,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,23,2.0872943,76,[5.749733924865723],[2.870910882949829],9,[9.014466285705566],[0.6443290114402771],-8.3758545,-5.111122,incorrect,False,-8.3758545,-5.111122,incorrect,False,-8.3758545,-5.111122,incorrect,False,gender
