item_id,profession,profession_bias,condition,cue,prefix,correct,incorrect,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,task
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,0,6.9427913e-23,464,[27.090360641479492],[-7.905035495758057],26515,[0.39728760719299316],[5.771725654602051],-143.42136,-170.11443,correct,True,-143.42136,-170.11443,correct,True,-143.42136,-170.11443,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,1,1.7131377e-12,1029,[17.598569869995117],[-3.5953187942504883],22499,[4.5694475173950195],[1.5743838548660278],-97.15729,-110.18641,correct,True,-97.15729,-110.18641,correct,True,-97.15729,-110.18641,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,2,8.074684e-14,2668,[17.26137924194336],[-1.2214943170547485],54274,[6.864308834075928],[2.923842430114746],-79.59897,-89.99603,correct,True,-79.59897,-89.99603,correct,True,-79.59897,-89.99603,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,3,4.0047476e-10,2071,[13.383391380310059],[-1.315326452255249],14611,[7.710383415222168],[1.0568187236785889],-66.60441,-72.27742,correct,True,-66.60441,-72.27742,correct,True,-66.60441,-72.27742,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,4,1.017732e-08,3936,[12.09994888305664],[9.63275146484375],13775,[8.205892562866211],[1.870071291923523],-61.015873,-64.90993,correct,True,-61.015873,-64.90993,correct,True,-61.015873,-64.90993,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,5,8.2669857e-07,785,[16.594295501708984],[-5.781426429748535],10264,[8.696651458740234],[5.697525978088379],-57.17303,-65.07068,correct,True,-57.17303,-65.07068,correct,True,-57.17303,-65.07068,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,6,2.8217252e-07,2196,[13.01842212677002],[7.904851913452148],2999,[12.114007949829102],[2.5068111419677734],-53.570942,-54.475357,correct,True,-53.570942,-54.475357,correct,True,-53.570942,-54.475357,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,7,4.5995808e-08,626,[16.1859073638916],[-0.22779826819896698],2200,[12.50500202178955],[6.091352462768555],-47.91893,-51.599834,correct,True,-47.91893,-51.599834,correct,True,-47.91893,-51.599834,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,8,4.8158495e-07,1175,[15.676837921142578],[2.7733778953552246],1486,[14.926213264465332],[-4.48944616317749],-46.344284,-47.09491,correct,True,-46.344284,-47.09491,correct,True,-46.344284,-47.09491,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,9,3.7135953e-06,1157,[15.62790584564209],[5.925149440765381],3835,[12.182525634765625],[1.6827466487884521],-42.050877,-45.496258,correct,True,-42.050877,-45.496258,correct,True,-42.050877,-45.496258,correct,True,gender
0,CEO,man,consistent,The CEO is somebody's grandfather.,The CEO is somebody's grandfather. The CEO is a,man,woman,The CEO is somebody's grandfather. The CEO is a,10,5.5486835e-06,767,[17.386959075927734],[-2.435453414916992],4151,[12.43358325958252],[-5.713866710662842],-39.277237,-44.230614,correct,True,-39.277237,-44.230614,correct,True,-39.277237,-44.230614,correct,True,gender
