model,item_id,condition,exemplar,correct,intuitive,auc_boost_neg,auc_boost_pos,layer_argmax_boost,output_entropy,output_rank_correct,output_logprob_correct,output_logprobdiff,auc_entropy,layer_biggest_change_entropy,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,control_auc_entropy,control_layer_biggest_change_entropy,control_auc_rank_correct,control_layer_biggest_change_rank_correct,control_auc_logprob_correct,control_layer_biggest_change_logprob_correct,control_auc_logprobdiff_pos,control_auc_logprobdiff_neg,control_layer_biggest_change_logprobdiff,exemplar_de
Llama-2-7b-hf,1,Atypical,eel,fish,reptile,29.58411824058262,90.46384802444601,19,2.4388933,1.0,-0.55226916,7.3994253400000005,183.83982909,19,13.264662801808216,19,180.25702616,19,177.18769554000002,12.362798300000001,19,182.78199075999999,5,0.0018062863778695018,13,407.1340685,6,19.7299185,32.10568349999999,13,Aal
Llama-2-7b-hf,2,Atypical,bat,mammal,bird,49.30015518409719,81.64073229555126,27,3.2803228,1.0,-0.86367285,5.09116445,178.60414217,18,3.733671612155928,28,334.065373452,25,34.212487648,48.3629977,27,205.28946630000002,5,0.01154159368123593,29,416.641148,11,3.2542999999999997,108.438372,29,Fledermaus
Llama-2-7b-hf,3,Atypical,penguin,bird,fish,29.071174224928928,70.1996493506278,19,1.9432666,0.5,-1.4888916,4.9918154,186.26390098,19,9.074712460711268,21,228.47504817,19,92.92407202999999,17.870007400000006,19,205.28947747,5,0.03631174810139339,14,311.457076,11,54.954234500000005,0.0,14,Pinguin
Llama-2-7b-hf,4,Atypical,butterfly,insect,bird,15.358318351402259,65.5259333943374,20,1.7140561,1.0,-0.6191921,8.0236789,197.3622894,20,12.456540171166274,16,211.19329617,16,121.43035513000001,6.532477,20,205.28947747,5,0.0005655734106092985,28,427.22722,11,0.0,115.77014399999997,12,Schmetterling
Llama-2-7b-hf,5,Atypical,sea lion,mammal,fish,38.83284746016013,47.38787642120406,29,2.5194645,0.09090909090909091,-4.4602323,1.4800214,206.8009552,12,0.6456910416597539,29,290.9810098,29,37.11550220000001,24.3417937,29,205.28946630000002,5,0.01154159368123593,29,416.641148,11,4.404832999999999,54.6346705,1,Seeloewe
Llama-2-7b-hf,6,Atypical,whale,mammal,fish,50.886597236061945,52.529832874659746,29,3.4570062,0.3333333333333333,-2.1256933,0.702528,190.4097575,19,2.0475374880371566,29,294.53710345,28,25.365794150000006,33.069349299999985,29,205.28946630000002,5,0.01154159368123593,29,416.641148,11,4.404832999999999,54.6346705,1,Wal
Llama-2-7b-hf,7,Typical,alligator,reptile,mammal,14.52204921281633,66.3844293372984,22,1.9601884,0.5,-1.6880519,6.3609931,186.46468495,20,3.29945396440466,29,260.6059451,22,98.94435240000001,4.864798499999997,22,182.78200386999998,5,0.005489255534380666,3,394.7583035,3,57.59169349999999,7.799106,3,Alligator
Llama-2-7b-hf,8,Typical,chameleon,reptile,insect,45.819533740971515,78.63093698729493,29,2.2119954,0.5,-1.8535309,3.5570440999999997,211.929183335,27,2.2334577154705584,28,266.3868888,0,53.067291900000015,25.000908100000004,29,205.28946630000002,5,0.03242316416656945,3,329.5787509,6,97.66292810000002,0.014459000000000444,29,Chamaeleon
Llama-2-7b-hf,9,Typical,falcon,bird,reptile,27.652221597152284,113.7563582023528,19,1.7615055,0.5,-1.1248033,10.0505407,171.76907767,19,9.345508111456098,26,210.55472041000002,16,216.75495258999996,24.186877000000003,16,205.28947747,5,0.03631174810139339,14,311.457076,11,32.6856825,14.564007600000002,4,Falke
Llama-2-7b-hf,10,Typical,goldfish,fish,amphibian,32.42389745038783,117.96227138810984,19,2.6682527,1.0,-0.93560386,7.1147411400000005,171.06875087,18,13.125511559077944,18,187.386566052,13,211.241842948,9.571793,19,205.28947747,5,0.0062050062364705765,27,366.4113105,6,58.7890895,8.946687000000002,30,Goldfisch
Llama-2-7b-hf,11,Typical,shark,fish,mammal,32.56270223754651,84.26839921890635,19,1.4966949,1.0,-0.29490587,6.46131973,199.6312311,19,11.001516025285287,20,203.602873736,19,148.843429764,12.933788000000005,3,205.28947747,5,0.0062050062364705765,27,366.4113105,6,54.6346705,4.404832999999999,4,Hai
Llama-2-7b-hf,12,Typical,dog,mammal,insect,21.395300116846347,87.95062067395327,29,2.5660906,0.3333333333333333,-2.2822688,9.285240199999999,188.60534526,19,2.0185951485958444,29,302.44909522,29,121.32464977999999,4.704219500000002,2,205.28946630000002,5,0.01154159368123593,29,416.641148,11,35.151728000000006,24.565655999999993,29,Hund
Llama-2-7b-hf,13,Typical,rabbit,mammal,reptile,23.8272466641249,83.75443880039069,27,2.5723617,1.0,-0.8202977,7.9437112999999995,180.77904062,19,3.701899473314635,28,304.58622033999995,23,115.21198966,25.822932899999994,21,205.28946630000002,5,0.01154159368123593,29,416.641148,11,0.25723260000000003,87.31962970000002,13,Kaninchen
Llama-2-7b-hf,14,Typical,cat,mammal,reptile,24.49270428259284,74.13596257023188,27,3.3049328,1.0,-1.4322859,6.6095161000000004,178.13346881,18,3.0857461853069648,29,329.51272930999994,24,80.91429069,28.757755399999997,10,205.28946630000002,5,0.01154159368123593,29,416.641148,11,0.25723260000000003,87.31962970000002,13,Katze
Llama-2-7b-hf,15,Typical,rattlesnake,reptile,amphibian,10.301291569838963,58.359226733547686,20,1.2957782,0.08333333333333333,-6.210501,6.173922999999999,177.97721537,20,0.3090071503505148,29,332.81653190000003,0,114.7653476,1.609814,0,205.28946630000002,5,0.03242316416656945,3,329.5787509,6,87.16622810000001,0.49126599999999954,3,Klapperschlange
Llama-2-7b-hf,16,Typical,salmon,fish,mammal,41.15819993871774,106.05199239267162,19,1.9822025,0.5,-0.9676414,6.0783939,173.835919146,19,13.849056631689775,15,180.44809266800002,15,185.823219132,8.970045500000001,19,205.28947747,5,0.0062050062364705765,27,366.4113105,6,54.6346705,4.404832999999999,4,Lachs
Llama-2-7b-hf,17,Typical,lion,mammal,fish,25.843008192003573,70.18326079092871,29,2.8538961,0.5,-1.5435885,4.75095,189.5356687,19,2.253947678670189,29,299.2373599,29,86.2873081,13.805470499999998,29,205.28946630000002,5,0.01154159368123593,29,416.641148,11,4.404832999999999,54.6346705,1,Loewe
Llama-2-7b-hf,18,Typical,horse,mammal,bird,26.374568502913217,83.40636848561519,29,3.2841325,0.5,-1.6015624,8.2773896,190.52287919999998,20,2.0626604940273614,29,304.18019673,21,93.73993576999999,4.533560000000001,29,205.28946630000002,5,0.01154159368123593,29,416.641148,11,3.2542999999999997,108.438372,29,Pferd
Llama-2-7b-hf,19,Typical,sparrow,bird,mammal,40.01100607028489,113.56902386901811,19,2.250146,1.0,-0.90521085,6.7795821499999995,165.67741067999998,16,11.186655671291724,19,210.38968359999998,16,217.86324190000002,18.295945500000002,19,205.28947747,5,0.03631174810139339,14,311.457076,11,108.438372,3.2542999999999997,10,Spatz
Llama-2-13b-hf,1,Atypical,eel,fish,reptile,9.97989957533396,155.0806052602606,25,1.2039772,1.0,-0.20935231,8.88457669,199.80224287,17,22.2497378167541,17,156.137744606,17,367.8137568940001,0.0,17,322.5532115,26,0.0012412992288447177,14,493.6854345,0,60.97325299999997,4.3893249999999995,2,Aal
Llama-2-13b-hf,2,Atypical,bat,mammal,bird,64.72883841064572,95.51335949608422,32,2.2429821,1.0,-0.4967372,4.3687575,190.97450270399997,19,6.018080795005169,34,488.581999494,32,50.549908106,150.73392370000002,32,359.6223655,36,0.008915486671580415,38,520.870146,37,2.8314819999999985,120.88500600000002,37,Fledermaus
Llama-2-13b-hf,3,Atypical,penguin,bird,fish,27.2435240075372,101.10199262279392,25,1.0464838,1.0,-0.41793123,7.50586677,215.21687965,20,22.286215866371357,17,176.42182489,17,216.46994241000002,15.091704799999999,25,359.6223649,36,0.017458199194887496,35,402.816622,1,31.042654,2.4947649999999992,1,Pinguin
Llama-2-13b-hf,4,Atypical,butterfly,insect,bird,21.27093585151186,84.26411250509116,24,2.0075946,1.0,-0.5861315,5.8664141,201.86384044,17,21.190690997465104,18,196.032221885,17,185.59958031499997,13.056908300000003,19,359.6223649,36,0.00026655585101239285,37,529.0687889999999,16,0.0,126.25216699999997,2,Schmetterling
Llama-2-13b-hf,5,Atypical,sea lion,mammal,fish,43.927005478284265,32.55866029155405,32,3.147104,0.07142857142857142,-4.480117,1.1122974,267.33027389999995,17,0.3716529333985316,37,437.5486651,2,5.8586483,110.12427520000001,22,359.6223655,36,0.008915486671580415,38,520.870146,37,3.0946659999999993,92.600301,37,Seeloewe
