model,item_id,entity,correct,intuitive,population_ratio,auc_boost_neg,auc_boost_pos,layer_argmax_boost,output_entropy,output_rank_correct,output_logprob_correct,output_logprobdiff,auc_entropy,layer_biggest_change_entropy,auc_rank_correct,layer_biggest_change_rank_correct,auc_logprob_correct,layer_biggest_change_logprob_correct,auc_logprobdiff_pos,auc_logprobdiff_neg,layer_biggest_change_logprobdiff,control_auc_entropy,control_layer_biggest_change_entropy,control_auc_rank_correct,control_layer_biggest_change_rank_correct,control_auc_logprob_correct,control_layer_biggest_change_logprob_correct,control_auc_logprobdiff_pos,control_auc_logprobdiff_neg,control_layer_biggest_change_logprobdiff
Llama-2-7b-hf,1,Australia,Canberra,Sydney,10.86749482,62.657977709750355,87.15716889282285,26,2.3349051,1.0,-0.47353858,3.33903132,156.853894815,16,6.1264429003617575,26,260.3353745052,24,33.128240294799994,81.98984820999999,26,171.39384560000002,15,0.00878897348102904,29,387.55231649999996,8,1.4951824999999985,42.024837999999995,15
Llama-2-7b-hf,2,Brazil,Brasilia,Rio de Janeiro,2.790180361,44.035702411328096,46.743275829266246,23,4.375442,0.125,-3.4509954,0.6991163,165.58853715,16,5.2229642422662,23,278.66025203000004,18,29.441540469999996,67.5820157,30,171.3938569,15,0.0023168989592771885,6,415.115685,30,2.6646320000000046,37.543002,14
Llama-2-7b-hf,3,Canada,Ottawa,Toronto,4.430716724,23.15894689926941,67.61012954249406,28,2.9225864,1.0,-0.71384966,3.39965734,157.37327674800002,16,10.656697193680287,21,214.6437378502,18,47.637338149799994,11.822148899999997,28,171.3938569,15,0.01022233048256604,11,364.67423499999995,30,24.272249000000002,13.899700499999998,1
Llama-2-7b-hf,4,India,New Delhi,Mumbai,107.2815534,8.846063012571735,90.6749696702953,26,4.0739613,1.0,-1.575909,5.1699725999999995,164.83891217999997,16,4.57676840408517,29,253.84085505000002,21,150.57077085000003,1.0002250000000004,26,171.39384560000002,15,0.026594345201561655,29,361.132218,29,31.11474549999999,8.316113500000002,1
Llama-2-7b-hf,5,Morrocco,Rabat,Marrakesh,0.5371287129,32.847324373106524,55.71481837600433,20,4.2218103,0.2,-3.160463,0.31449229999999995,174.97745514000002,19,3.2450815870305827,27,288.36172209999995,26,47.96672099999999,24.4948945,14,171.3938569,15,0.017947049352147623,10,370.614472,26,10.039977999999998,42.039580300000004,17
Llama-2-7b-hf,6,New Zealand,Wellington,Auckland,3.997663551,33.29456763698176,91.51701186291929,24,3.9471645,0.5,-2.0333834,0.7487077000000002,163.27660052,16,8.326611033004166,23,260.7348171805,22,83.37317651949999,22.0206075,5,171.3938569,15,0.0013296175224846657,29,461.3469975,6,0.37618999999999936,76.2423852,6
Llama-2-7b-hf,7,Pakistan,Islamabad,Karachi,13.92307692,17.519568450653725,61.944765744188565,23,2.525224,1.0,-0.52804995,4.52036105,156.242469195,16,8.443652271598477,23,276.1337005376,21,78.06797216240001,2.7503545000000003,23,171.3938569,15,0.004075696988985741,30,411.48363800000004,12,40.9596975,6.7339955000000025,3
Llama-2-7b-hf,8,South Africa,Pretoria,Johannesburg,2.133333333,130.20679248854864,92.72986628557383,29,3.8738837,1.0,-1.621639,1.5230541,159.94979941,16,2.626842623986307,29,382.14661775,29,17.42520915,164.68940081199997,29,171.39384560000002,15,0.02770292909945606,29,383.2381815,29,53.4142955,1.7409119999999998,29
Llama-2-7b-hf,9,Switzerland,Bern,Zurich,3.247767857,39.93595107836053,51.98714349939853,24,3.7458982,1.0,-1.5775552,2.0980258000000003,174.1465824,17,7.00129746333353,25,263.52652054,24,22.052121459999995,50.22535330000001,24,171.3938569,15,0.0026106918436400346,30,422.6553765,30,1.921077999999996,63.610861,2
Llama-2-7b-hf,10,Turkey,Ankara,Istanbul,2.926126126,107.47796012103852,92.31682340856086,24,3.8025305,1.0,-1.6015853,0.8750420000000001,164.60750295,16,4.877653980793999,27,292.228420744,24,16.220051856000005,94.71845156,24,171.39384560000002,15,0.079721994159154,25,342.440376,9,73.2261405,2.390634499999999,16
Llama-2-7b-hf,11,United Arab Emirates,Abu Dhabi,Dubai,1.9375,77.68631320602701,58.731848959987545,27,3.6068816,0.5,-1.9303365,0.6001558000000002,167.51361052559997,19,6.245502615802929,27,265.26455158,24,16.75089012,68.6013408908,27,171.39384129999996,15,0.02231466461826773,29,414.34367399999996,23,42.7600265,26.128349999999998,13
Llama-2-7b-hf,12,Alabama,Montgomery,Birmingham,1.010416667,32.307331321405364,78.2012784844365,22,3.186141,1.0,-0.9144602,3.2875871000000005,159.09334831,16,6.562977229153659,25,299.53380923,25,73.16674327,31.363735800000004,22,171.39384560000002,15,0.0014678735949749044,30,468.6965875,30,0.0,99.6847741,30
Llama-2-7b-hf,13,Alaska,Juneau,Anchorage,9.099678457,32.96245118721233,38.51627620111438,25,3.7697492,1.0,-1.1515094,2.1910371,179.40139126,16,5.975225884083952,26,297.79364822,22,10.957098180000003,44.265811400000004,30,171.3938569,15,0.001424413415990795,29,436.391054,26,0.0,93.95067799999998,30
Llama-2-7b-hf,14,California,Sacramento,Los Angeles,7.210626186,25.0628127484998,69.68666125990727,20,4.270269,0.3333333333333333,-2.3685577,2.1477483,163.00602388000001,16,9.83332978950442,21,220.242493504,20,48.116628895999995,36.327020299999994,20,171.39384560000002,15,0.008984062674527265,29,390.33884950000004,14,46.32437150000001,10.449702999999996,4
Llama-2-7b-hf,15,Connecticut,Hartford,Bridgeport,1.243697479,49.18190706691616,81.52371615413054,20,3.453515,1.0,-1.0052286,5.227980400000001,157.765362201,16,10.532771681804919,21,219.87590901139998,18,96.4604662886,32.95913490000001,20,171.3938569,15,0.00686900435418105,6,384.27372199999996,26,23.288975,10.496316499999995,2
Llama-2-7b-hf,16,Delaware,Dover,Wilmington,1.791563275,75.08523285715569,82.23796412874137,27,3.7030172,1.0,-1.2437036,1.8351936000000002,163.66432917,16,3.6836073653198222,28,318.477330387,27,22.056112412999997,63.07322305,27,171.3938569,15,0.02106486054510847,29,399.9665095,29,71.36811149999998,10.482935000000001,29
Llama-2-7b-hf,17,Florida,Tallahassee,Jacksonville,4.917073171,51.50117286619921,89.23830649423248,28,3.5806634,1.0,-1.2457227,3.3331228,171.99692976400001,16,3.4449427834737425,28,332.9660542806,21,23.424843219399996,65.13238120000001,28,171.3938397,15,0.09215137860836742,29,356.5189696,29,62.6065479,4.6947220000000005,14
Llama-2-7b-hf,18,Illinois,Springfield,Chicago,23.53153153,83.49107363861138,71.50693836030406,24,4.155676,0.16666666666666666,-3.047465,-0.37163939999999984,165.973626,16,4.671860433394631,27,297.41267036,21,17.391254639999996,62.589795970000004,21,171.3938569,15,0.0020162920719924114,29,431.24756749999995,26,17.196906500000004,42.5176705,6
Llama-2-7b-hf,19,Kansas,Topeka,Wichita,3.16,20.607322546207534,68.47937483633606,28,3.8092003,1.0,-1.4331034,3.5924740999999996,165.887788312,16,5.343594793826242,27,296.89631132470004,24,76.4725491753,13.929318000000002,20,171.39384560000002,15,0.006760184716895391,29,391.3210775,26,62.09725799999999,3.9854710000000004,7
Llama-2-7b-hf,20,Kentucky,Frankfort,Louisville,21.95729537,45.28033312904771,54.05310547472567,29,3.8583975,1.0,-1.956216,0.31317890000000004,162.90883113,16,3.9336620616799065,29,278.77716541,21,34.00851238999999,53.784372499999996,29,171.3938569,15,0.017523429127999222,9,357.493922,4,110.50033199999999,0.6190469999999983,0
Llama-2-7b-hf,21,Louisiana,Baton Rouge,New Orleans,1.63255814,58.44051554861438,69.80687360231644,24,3.7227876,1.0,-1.523384,0.5966122999999999,162.99404619,16,9.077681950305966,22,229.410620291,21,36.351576509,34.6998609,20,171.3938397,15,0.0010039489480738308,30,454.1729825,7,0.001234999999999431,93.04198900000002,7
