task,item_id,entity_type,entity,entity_subtype,correct,intuitive,prefix,fact_color_critical,question,fact_appearance_normal,fact_appearance_strange,fact_type_normal,fact_type_strange,fact_subtype_normal,fact_subtype_strange,fact_place_normal,fact_place_strange,fact_size_normal,fact_size_strange
colors,1,plant,banana,fruit,blue,yellow,I'm looking at a banana.,The banana is blue.,What color is the banana?,The banana is long.,The banana is square.,The banana is a plant.,The banana is an animal.,The banana is a fruit.,The banana is a mammal.,The banana grows on a tree.,The banana grows on the moon.,The banana is bigger than an ant.,The banana is smaller than an ant.
colors,2,plant,lemon,fruit,blue,yellow,I'm looking at a lemon.,The lemon is blue.,What color is the lemon?,The lemon is round.,The lemon is square.,The lemon is a plant.,The lemon is an animal.,The lemon is a fruit.,The lemon is a mammal.,The lemon grows on a tree.,The lemon grows on the moon.,The lemon is bigger than an ant.,The lemon is smaller than an ant.
colors,3,plant,tomato,vegetable,blue,red,I'm looking at a tomato.,The tomato is blue.,What color is the tomato?,The tomato is round.,The tomato is square.,The tomato is a plant.,The tomato is an animal.,The tomato is a vegetable.,The tomato is a mammal.,The tomato grows on a vine.,The tomato grows on the moon.,The tomato is bigger than an ant.,The tomato is smaller than an ant.
colors,4,plant,strawberry,fruit,blue,red,I'm looking at a strawberry.,The strawberry is blue.,What color is the strawberry?,The strawberry has seeds.,The strawberry is square.,The strawberry is a plant.,The strawberry is an animal.,The strawberry is a fruit.,The strawberry is a mammal.,The strawberry grows on the ground.,The strawberry grows on the moon.,The strawberry is bigger than an ant.,The strawberry is smaller than an ant.
colors,5,plant,pumpkin,vegetable,blue,orange,I'm looking at a pumpkin.,The pumpkin is blue.,What color is the pumpkin?,The pumpkin is round.,The pumpkin is square.,The pumpkin is a plant.,The pumpkin is an animal.,The pumpkin is a vegetable.,The pumpkin is a mammal.,The pumpkin grows in a patch.,The pumpkin grows on the moon.,The pumpkin is bigger than an ant.,The pumpkin is smaller than an ant.
colors,6,plant,carrot,vegetable,blue,orange,I'm looking at a carrot.,The carrot is blue.,What color is the carrot?,The carrot is long.,The carrot is square.,The carrot is a plant.,The carrot is an animal.,The carrot is a vegetable.,The carrot is a mammal.,The carrot grows in the ground.,The carrot grows on the moon.,The carrot is bigger than an ant.,The carrot is smaller than an ant.
colors,7,plant,spinach,vegetable,blue,green,I'm looking at some spinach.,The spinach is blue.,What color is the spinach?,The spinach has leaves.,The spinach is square.,The spinach is a plant.,The spinach is an animal.,The spinach is a vegetable.,The spinach is a mammal.,The spinach grows in a garden.,The spinach grows on the moon.,The spinach is bigger than an ant.,The spinach is smaller than an ant.
colors,8,plant,lime,fruit,blue,green,I'm looking at a lime.,The lime is blue.,What color is the lime?,The lime is round.,The lime is square.,The lime is a plant.,The lime is an animal.,The lime is a fruit.,The lime is a mammal.,The lime grows on a tree.,The lime grows on the moon.,The lime is bigger than an ant.,The lime is smaller than an ant.
colors,9,plant,potato,vegetable,blue,brown,I'm looking at a potato.,The potato is blue.,What color is the potato?,The potato is round.,The potato is square.,The potato is a plant.,The potato is an animal.,The potato is a vegetable.,The potato is a mammal.,The potato grows in the ground.,The potato grows on the moon.,The potato is bigger than an ant.,The potato is smaller than an ant.
colors,10,plant,chocolate,dessert,blue,brown,I'm looking at some chocolate.,The chocolate is blue.,What color is the chocolate?,The chocolate is flat.,The chocolate is triangular.,The chocolate is a plant.,The chocolate is an animal.,The chocolate is a dessert.,The chocolate is a mammal.,The chocolate is made from cacao.,The chocolate grows on the moon.,The chocolate is bigger than an ant.,The chocolate is smaller than an ant.
