subj,dataset_name,metric_name,stimulus,layer,value
vit_base_patch16_224,edge,Entropy,airplane1.png,0,2.306957721710205
vit_base_patch16_224,edge,Entropy,airplane1.png,1,2.484978199005127
vit_base_patch16_224,edge,Entropy,airplane1.png,2,2.5086793899536133
vit_base_patch16_224,edge,Entropy,airplane1.png,3,2.575274705886841
vit_base_patch16_224,edge,Entropy,airplane1.png,4,2.531735897064209
vit_base_patch16_224,edge,Entropy,airplane1.png,5,2.5038001537323
vit_base_patch16_224,edge,Entropy,airplane1.png,6,2.2008721828460693
vit_base_patch16_224,edge,Entropy,airplane1.png,7,2.2867321968078613
vit_base_patch16_224,edge,Entropy,airplane1.png,8,2.5584192276000977
vit_base_patch16_224,edge,Entropy,airplane1.png,9,2.5522055625915527
vit_base_patch16_224,edge,Entropy,airplane1.png,10,2.4845194816589355
vit_base_patch16_224,edge,Entropy,airplane1.png,11,2.2894675731658936
vit_base_patch16_224,edge,Entropy,airplane10.png,0,2.307562828063965
vit_base_patch16_224,edge,Entropy,airplane10.png,1,2.517068386077881
vit_base_patch16_224,edge,Entropy,airplane10.png,2,2.54510498046875
vit_base_patch16_224,edge,Entropy,airplane10.png,3,2.5853638648986816
vit_base_patch16_224,edge,Entropy,airplane10.png,4,2.512004852294922
vit_base_patch16_224,edge,Entropy,airplane10.png,5,2.482870101928711
vit_base_patch16_224,edge,Entropy,airplane10.png,6,2.207770824432373
vit_base_patch16_224,edge,Entropy,airplane10.png,7,2.408919334411621
vit_base_patch16_224,edge,Entropy,airplane10.png,8,2.4991679191589355
vit_base_patch16_224,edge,Entropy,airplane10.png,9,2.4562041759490967
vit_base_patch16_224,edge,Entropy,airplane10.png,10,2.215489625930786
vit_base_patch16_224,edge,Entropy,airplane10.png,11,1.950979471206665
vit_base_patch16_224,edge,Entropy,airplane2.png,0,2.3059515953063965
vit_base_patch16_224,edge,Entropy,airplane2.png,1,2.523043632507324
vit_base_patch16_224,edge,Entropy,airplane2.png,2,2.5525288581848145
vit_base_patch16_224,edge,Entropy,airplane2.png,3,2.5958259105682373
vit_base_patch16_224,edge,Entropy,airplane2.png,4,2.522963523864746
vit_base_patch16_224,edge,Entropy,airplane2.png,5,2.5184788703918457
vit_base_patch16_224,edge,Entropy,airplane2.png,6,2.2740509510040283
vit_base_patch16_224,edge,Entropy,airplane2.png,7,2.4175045490264893
vit_base_patch16_224,edge,Entropy,airplane2.png,8,2.4709110260009766
vit_base_patch16_224,edge,Entropy,airplane2.png,9,2.5237646102905273
vit_base_patch16_224,edge,Entropy,airplane2.png,10,2.3739402294158936
vit_base_patch16_224,edge,Entropy,airplane2.png,11,2.149837017059326
vit_base_patch16_224,edge,Entropy,airplane3.png,0,2.3068556785583496
vit_base_patch16_224,edge,Entropy,airplane3.png,1,2.4756386280059814
vit_base_patch16_224,edge,Entropy,airplane3.png,2,2.5006306171417236
vit_base_patch16_224,edge,Entropy,airplane3.png,3,2.5723800659179688
vit_base_patch16_224,edge,Entropy,airplane3.png,4,2.5254807472229004
vit_base_patch16_224,edge,Entropy,airplane3.png,5,2.497234582901001
vit_base_patch16_224,edge,Entropy,airplane3.png,6,2.119870901107788
vit_base_patch16_224,edge,Entropy,airplane3.png,7,2.4474124908447266
vit_base_patch16_224,edge,Entropy,airplane3.png,8,2.637442111968994
vit_base_patch16_224,edge,Entropy,airplane3.png,9,2.6357274055480957
vit_base_patch16_224,edge,Entropy,airplane3.png,10,2.2463057041168213
vit_base_patch16_224,edge,Entropy,airplane3.png,11,2.2189760208129883
vit_base_patch16_224,edge,Entropy,airplane4.png,0,2.307497024536133
vit_base_patch16_224,edge,Entropy,airplane4.png,1,2.4980592727661133
