subj,dataset_name,metric_name,stimulus,layer,value
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane1.png,0,0.125
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane1.png,1,0.07692307692307693
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane1.png,2,0.07692307692307693
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane1.png,3,0.07692307692307693
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane1.png,4,0.25
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane1.png,5,0.125
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane1.png,6,0.25
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane1.png,7,0.2
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane1.png,8,0.2
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane1.png,9,0.2
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane1.png,10,1.0
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane1.png,11,0.2
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane10.png,0,0.125
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane10.png,1,0.08333333333333333
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane10.png,2,0.07692307692307693
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane10.png,3,0.08333333333333333
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane10.png,4,0.25
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane10.png,5,0.2
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane10.png,6,0.25
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane10.png,7,0.2
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane10.png,8,0.2
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane10.png,9,0.3333333333333333
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane10.png,10,0.5
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane10.png,11,1.0
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane2.png,0,0.125
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane2.png,1,0.08333333333333333
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane2.png,2,0.08333333333333333
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane2.png,3,0.08333333333333333
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane2.png,4,0.25
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane2.png,5,0.3333333333333333
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane2.png,6,0.3333333333333333
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane2.png,7,0.16666666666666666
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane2.png,8,0.125
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane2.png,9,0.125
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane2.png,10,0.08333333333333333
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane2.png,11,0.14285714285714285
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane3.png,0,0.125
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane3.png,1,0.07692307692307693
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane3.png,2,0.07692307692307693
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane3.png,3,0.07692307692307693
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane3.png,4,0.25
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane3.png,5,0.125
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane3.png,6,0.25
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane3.png,7,0.2
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane3.png,8,0.16666666666666666
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane3.png,9,0.3333333333333333
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane3.png,10,1.0
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane3.png,11,1.0
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane4.png,0,0.125
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane4.png,1,0.08333333333333333
vit_base_patch16_224,edge,Layerwise Reciprocal Rank,airplane4.png,2,0.07692307692307693
