subj,dataset_name,metric_name,stimulus,layer,value
vit_base_patch16_224,eidolonII,Probability,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,0,0.005633859429508448
vit_base_patch16_224,eidolonII,Probability,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,1,0.011185327544808388
vit_base_patch16_224,eidolonII,Probability,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,2,0.017185596749186516
vit_base_patch16_224,eidolonII,Probability,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,3,0.025302128866314888
vit_base_patch16_224,eidolonII,Probability,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,4,0.019001588225364685
vit_base_patch16_224,eidolonII,Probability,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,5,0.01978582702577114
vit_base_patch16_224,eidolonII,Probability,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,6,0.01761038415133953
vit_base_patch16_224,eidolonII,Probability,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,7,0.016474850475788116
vit_base_patch16_224,eidolonII,Probability,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,8,0.03344995155930519
vit_base_patch16_224,eidolonII,Probability,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,9,0.0450931079685688
vit_base_patch16_224,eidolonII,Probability,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,10,0.030308816581964493
vit_base_patch16_224,eidolonII,Probability,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,11,0.013537369668483734
vit_base_patch16_224,eidolonII,Probability,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,0,0.07535398751497269
vit_base_patch16_224,eidolonII,Probability,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,1,0.061903830617666245
vit_base_patch16_224,eidolonII,Probability,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,2,0.054014645516872406
vit_base_patch16_224,eidolonII,Probability,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,3,0.040664248168468475
vit_base_patch16_224,eidolonII,Probability,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,4,0.036138132214546204
vit_base_patch16_224,eidolonII,Probability,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,5,0.01119388546794653
vit_base_patch16_224,eidolonII,Probability,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,6,0.021169928833842278
vit_base_patch16_224,eidolonII,Probability,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,7,0.07130623608827591
vit_base_patch16_224,eidolonII,Probability,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,8,0.06730829924345016
vit_base_patch16_224,eidolonII,Probability,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,9,0.07204669713973999
vit_base_patch16_224,eidolonII,Probability,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,10,0.054769568145275116
vit_base_patch16_224,eidolonII,Probability,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,11,0.021272514015436172
vit_base_patch16_224,eidolonII,Probability,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,0,0.0396035797894001
vit_base_patch16_224,eidolonII,Probability,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,1,0.07634597271680832
vit_base_patch16_224,eidolonII,Probability,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,2,0.06862075626850128
vit_base_patch16_224,eidolonII,Probability,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,3,0.08884906768798828
vit_base_patch16_224,eidolonII,Probability,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,4,0.08319643884897232
vit_base_patch16_224,eidolonII,Probability,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,5,0.05058052018284798
vit_base_patch16_224,eidolonII,Probability,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,6,0.04102005437016487
vit_base_patch16_224,eidolonII,Probability,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,7,0.03466295450925827
vit_base_patch16_224,eidolonII,Probability,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,8,0.04448673129081726
vit_base_patch16_224,eidolonII,Probability,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,9,0.046745892614126205
vit_base_patch16_224,eidolonII,Probability,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,10,0.05831128731369972
vit_base_patch16_224,eidolonII,Probability,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,11,0.03984444588422775
vit_base_patch16_224,eidolonII,Probability,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png,0,0.09028809517621994
vit_base_patch16_224,eidolonII,Probability,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png,1,0.11753080785274506
vit_base_patch16_224,eidolonII,Probability,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png,2,0.09128719568252563
vit_base_patch16_224,eidolonII,Probability,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png,3,0.04230007529258728
vit_base_patch16_224,eidolonII,Probability,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png,4,0.02154727652668953
vit_base_patch16_224,eidolonII,Probability,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png,5,0.012454506009817123
