subj,dataset_name,metric_name,stimulus,layer,value
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,0,0.2
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,1,0.14285714285714285
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,2,0.1
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,3,0.1
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,4,0.09090909090909091
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,5,0.0625
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,6,0.07142857142857142
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,7,0.1111111111111111
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,8,0.14285714285714285
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,9,0.14285714285714285
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,10,0.06666666666666667
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,11,0.07142857142857142
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,0,0.0625
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,1,0.0625
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,2,0.06666666666666667
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,3,0.07692307692307693
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,4,0.06666666666666667
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,5,0.09090909090909091
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,6,0.1
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,7,0.07142857142857142
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,8,0.09090909090909091
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,9,1.0
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,10,1.0
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,11,1.0
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,0,0.07142857142857142
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,1,0.07142857142857142
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,2,0.07142857142857142
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,3,0.0625
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,4,0.07142857142857142
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,5,0.09090909090909091
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,6,0.09090909090909091
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,7,0.1
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,8,0.16666666666666666
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,9,0.09090909090909091
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,10,0.1111111111111111
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,11,0.1111111111111111
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,0,1.0
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,1,1.0
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,2,0.5
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,3,0.5
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,4,1.0
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,5,1.0
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,6,1.0
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,7,1.0
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,8,1.0
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,9,1.0
vit_base_patch16_224,eidolonIII,Layerwise Reciprocal Rank,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,10,0.2
