subj,dataset_name,metric_name,stimulus,layer,value
vit_base_patch16_224,eidolonIII,Probability,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,0,0.07196067273616791
vit_base_patch16_224,eidolonIII,Probability,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,1,0.0592837929725647
vit_base_patch16_224,eidolonIII,Probability,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,2,0.045956820249557495
vit_base_patch16_224,eidolonIII,Probability,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,3,0.039869923144578934
vit_base_patch16_224,eidolonIII,Probability,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,4,0.03541116416454315
vit_base_patch16_224,eidolonIII,Probability,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,5,0.010382323525846004
vit_base_patch16_224,eidolonIII,Probability,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,6,0.017213162034749985
vit_base_patch16_224,eidolonIII,Probability,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,7,0.049563903361558914
vit_base_patch16_224,eidolonIII,Probability,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,8,0.054757457226514816
vit_base_patch16_224,eidolonIII,Probability,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,9,0.061194103211164474
vit_base_patch16_224,eidolonIII,Probability,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,10,0.018478555604815483
vit_base_patch16_224,eidolonIII,Probability,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,11,0.00946310069411993
vit_base_patch16_224,eidolonIII,Probability,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,0,0.006233932450413704
vit_base_patch16_224,eidolonIII,Probability,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,1,0.012087364681065083
vit_base_patch16_224,eidolonIII,Probability,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,2,0.01826028898358345
vit_base_patch16_224,eidolonIII,Probability,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,3,0.029557034373283386
vit_base_patch16_224,eidolonIII,Probability,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,4,0.02355114184319973
vit_base_patch16_224,eidolonIII,Probability,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,5,0.03094223141670227
vit_base_patch16_224,eidolonIII,Probability,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,6,0.03012022376060486
vit_base_patch16_224,eidolonIII,Probability,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,7,0.030136041343212128
vit_base_patch16_224,eidolonIII,Probability,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,8,0.05093427002429962
vit_base_patch16_224,eidolonIII,Probability,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,9,0.12522083520889282
vit_base_patch16_224,eidolonIII,Probability,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,10,0.8858541250228882
vit_base_patch16_224,eidolonIII,Probability,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,11,0.9649598002433777
vit_base_patch16_224,eidolonIII,Probability,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,0,0.017590343952178955
vit_base_patch16_224,eidolonIII,Probability,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,1,0.017947237938642502
vit_base_patch16_224,eidolonIII,Probability,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,2,0.024320116266608238
vit_base_patch16_224,eidolonIII,Probability,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,3,0.023834338411688805
vit_base_patch16_224,eidolonIII,Probability,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,4,0.027739109471440315
vit_base_patch16_224,eidolonIII,Probability,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,5,0.03239152207970619
vit_base_patch16_224,eidolonIII,Probability,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,6,0.028924789279699326
vit_base_patch16_224,eidolonIII,Probability,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,7,0.04277592897415161
vit_base_patch16_224,eidolonIII,Probability,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,8,0.049791913479566574
vit_base_patch16_224,eidolonIII,Probability,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,9,0.0426098071038723
vit_base_patch16_224,eidolonIII,Probability,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,10,0.02495514042675495
vit_base_patch16_224,eidolonIII,Probability,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,11,0.01042863167822361
vit_base_patch16_224,eidolonIII,Probability,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,0,0.3048345446586609
vit_base_patch16_224,eidolonIII,Probability,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,1,0.1793946623802185
vit_base_patch16_224,eidolonIII,Probability,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,2,0.13205264508724213
vit_base_patch16_224,eidolonIII,Probability,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,3,0.1299990862607956
vit_base_patch16_224,eidolonIII,Probability,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,4,0.1502048671245575
vit_base_patch16_224,eidolonIII,Probability,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,5,0.19822590053081512
vit_base_patch16_224,eidolonIII,Probability,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,6,0.28106772899627686
vit_base_patch16_224,eidolonIII,Probability,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,7,0.1898987591266632
vit_base_patch16_224,eidolonIII,Probability,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,8,0.14169719815254211
vit_base_patch16_224,eidolonIII,Probability,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,9,0.10039611160755157
vit_base_patch16_224,eidolonIII,Probability,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,10,0.08086975663900375
vit_base_patch16_224,eidolonIII,Probability,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,11,0.057675544172525406
vit_base_patch16_224,eidolonIII,Probability,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,0,0.018768295645713806
vit_base_patch16_224,eidolonIII,Probability,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,1,0.020762348547577858
vit_base_patch16_224,eidolonIII,Probability,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,2,0.028233474120497704
vit_base_patch16_224,eidolonIII,Probability,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,3,0.031596992164850235
vit_base_patch16_224,eidolonIII,Probability,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,4,0.03499146178364754
vit_base_patch16_224,eidolonIII,Probability,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,5,0.03806130588054657
vit_base_patch16_224,eidolonIII,Probability,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,6,0.028243372216820717
vit_base_patch16_224,eidolonIII,Probability,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,7,0.04144677892327309
vit_base_patch16_224,eidolonIII,Probability,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,8,0.045860834419727325
vit_base_patch16_224,eidolonIII,Probability,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,9,0.04267359524965286
vit_base_patch16_224,eidolonIII,Probability,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,10,0.03295673429965973
vit_base_patch16_224,eidolonIII,Probability,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,11,0.01801590994000435
vit_base_patch16_224,eidolonIII,Probability,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,0,0.10448990762233734
vit_base_patch16_224,eidolonIII,Probability,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,1,0.13817065954208374
vit_base_patch16_224,eidolonIII,Probability,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,2,0.13175101578235626
vit_base_patch16_224,eidolonIII,Probability,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,3,0.12236346304416656
vit_base_patch16_224,eidolonIII,Probability,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,4,0.15726172924041748
vit_base_patch16_224,eidolonIII,Probability,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,5,0.10243390500545502
vit_base_patch16_224,eidolonIII,Probability,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,6,0.04215411841869354
vit_base_patch16_224,eidolonIII,Probability,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,7,0.0675475150346756
vit_base_patch16_224,eidolonIII,Probability,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,8,0.056583479046821594
vit_base_patch16_224,eidolonIII,Probability,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,9,0.0561799593269825
vit_base_patch16_224,eidolonIII,Probability,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,10,0.027307551354169846
vit_base_patch16_224,eidolonIII,Probability,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,11,0.014479345642030239
vit_base_patch16_224,eidolonIII,Probability,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,0,0.07217758148908615
vit_base_patch16_224,eidolonIII,Probability,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,1,0.062145378440618515
vit_base_patch16_224,eidolonIII,Probability,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,2,0.05807371065020561
vit_base_patch16_224,eidolonIII,Probability,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,3,0.04694846644997597
vit_base_patch16_224,eidolonIII,Probability,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,4,0.04483162984251976
vit_base_patch16_224,eidolonIII,Probability,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,5,0.0112124253064394
vit_base_patch16_224,eidolonIII,Probability,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,6,0.021617349237203598
vit_base_patch16_224,eidolonIII,Probability,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,7,0.08328986167907715
vit_base_patch16_224,eidolonIII,Probability,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,8,0.09401852637529373
