subj,dataset_name,metric_name,stimulus,layer,value
vit_base_patch16_224,phase-scrambling,Probability,0001_ps_dnn_30_truck_10_n03417042_14861.png,0,0.03599213808774948
vit_base_patch16_224,phase-scrambling,Probability,0001_ps_dnn_30_truck_10_n03417042_14861.png,1,0.07696238905191422
vit_base_patch16_224,phase-scrambling,Probability,0001_ps_dnn_30_truck_10_n03417042_14861.png,2,0.07153309136629105
vit_base_patch16_224,phase-scrambling,Probability,0001_ps_dnn_30_truck_10_n03417042_14861.png,3,0.09750188142061234
vit_base_patch16_224,phase-scrambling,Probability,0001_ps_dnn_30_truck_10_n03417042_14861.png,4,0.09965727478265762
vit_base_patch16_224,phase-scrambling,Probability,0001_ps_dnn_30_truck_10_n03417042_14861.png,5,0.08660650253295898
vit_base_patch16_224,phase-scrambling,Probability,0001_ps_dnn_30_truck_10_n03417042_14861.png,6,0.10377267748117447
vit_base_patch16_224,phase-scrambling,Probability,0001_ps_dnn_30_truck_10_n03417042_14861.png,7,0.09582106024026871
vit_base_patch16_224,phase-scrambling,Probability,0001_ps_dnn_30_truck_10_n03417042_14861.png,8,0.12450829148292542
vit_base_patch16_224,phase-scrambling,Probability,0001_ps_dnn_30_truck_10_n03417042_14861.png,9,0.3227769136428833
vit_base_patch16_224,phase-scrambling,Probability,0001_ps_dnn_30_truck_10_n03417042_14861.png,10,0.9693487286567688
vit_base_patch16_224,phase-scrambling,Probability,0001_ps_dnn_30_truck_10_n03417042_14861.png,11,0.993636965751648
vit_base_patch16_224,phase-scrambling,Probability,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,0,0.03234317898750305
vit_base_patch16_224,phase-scrambling,Probability,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,1,0.0385868176817894
vit_base_patch16_224,phase-scrambling,Probability,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,2,0.033105526119470596
vit_base_patch16_224,phase-scrambling,Probability,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,3,0.04181278496980667
vit_base_patch16_224,phase-scrambling,Probability,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,4,0.03978695347905159
vit_base_patch16_224,phase-scrambling,Probability,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,5,0.06345059722661972
vit_base_patch16_224,phase-scrambling,Probability,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,6,0.14426454901695251
vit_base_patch16_224,phase-scrambling,Probability,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,7,0.4277918338775635
vit_base_patch16_224,phase-scrambling,Probability,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,8,0.4010184407234192
vit_base_patch16_224,phase-scrambling,Probability,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,9,0.6109066009521484
vit_base_patch16_224,phase-scrambling,Probability,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,10,0.99491286277771
vit_base_patch16_224,phase-scrambling,Probability,0002_ps_dnn_0_keyboard_10_n03085013_25476.png,11,0.9865895509719849
vit_base_patch16_224,phase-scrambling,Probability,0003_ps_dnn_0_elephant_10_n02504013_3087.png,0,0.0231185220181942
vit_base_patch16_224,phase-scrambling,Probability,0003_ps_dnn_0_elephant_10_n02504013_3087.png,1,0.06479861587285995
vit_base_patch16_224,phase-scrambling,Probability,0003_ps_dnn_0_elephant_10_n02504013_3087.png,2,0.15096598863601685
vit_base_patch16_224,phase-scrambling,Probability,0003_ps_dnn_0_elephant_10_n02504013_3087.png,3,0.12807509303092957
vit_base_patch16_224,phase-scrambling,Probability,0003_ps_dnn_0_elephant_10_n02504013_3087.png,4,0.0866076722741127
vit_base_patch16_224,phase-scrambling,Probability,0003_ps_dnn_0_elephant_10_n02504013_3087.png,5,0.0989733338356018
vit_base_patch16_224,phase-scrambling,Probability,0003_ps_dnn_0_elephant_10_n02504013_3087.png,6,0.23911619186401367
vit_base_patch16_224,phase-scrambling,Probability,0003_ps_dnn_0_elephant_10_n02504013_3087.png,7,0.23337945342063904
vit_base_patch16_224,phase-scrambling,Probability,0003_ps_dnn_0_elephant_10_n02504013_3087.png,8,0.17718222737312317
vit_base_patch16_224,phase-scrambling,Probability,0003_ps_dnn_0_elephant_10_n02504013_3087.png,9,0.3604312837123871
vit_base_patch16_224,phase-scrambling,Probability,0003_ps_dnn_0_elephant_10_n02504013_3087.png,10,0.9563997983932495
vit_base_patch16_224,phase-scrambling,Probability,0003_ps_dnn_0_elephant_10_n02504013_3087.png,11,0.9684850573539734
vit_base_patch16_224,phase-scrambling,Probability,0004_ps_dnn_30_cat_10_n02123394_4633.png,0,0.05495486035943031
vit_base_patch16_224,phase-scrambling,Probability,0004_ps_dnn_30_cat_10_n02123394_4633.png,1,0.035025205463171005
vit_base_patch16_224,phase-scrambling,Probability,0004_ps_dnn_30_cat_10_n02123394_4633.png,2,0.03032291866838932
vit_base_patch16_224,phase-scrambling,Probability,0004_ps_dnn_30_cat_10_n02123394_4633.png,3,0.0359572097659111
vit_base_patch16_224,phase-scrambling,Probability,0004_ps_dnn_30_cat_10_n02123394_4633.png,4,0.04102170839905739
vit_base_patch16_224,phase-scrambling,Probability,0004_ps_dnn_30_cat_10_n02123394_4633.png,5,0.06294776499271393
vit_base_patch16_224,phase-scrambling,Probability,0004_ps_dnn_30_cat_10_n02123394_4633.png,6,0.09977959096431732
vit_base_patch16_224,phase-scrambling,Probability,0004_ps_dnn_30_cat_10_n02123394_4633.png,7,0.10725262016057968
vit_base_patch16_224,phase-scrambling,Probability,0004_ps_dnn_30_cat_10_n02123394_4633.png,8,0.14843875169754028
vit_base_patch16_224,phase-scrambling,Probability,0004_ps_dnn_30_cat_10_n02123394_4633.png,9,0.16983842849731445
vit_base_patch16_224,phase-scrambling,Probability,0004_ps_dnn_30_cat_10_n02123394_4633.png,10,0.8148937225341797
vit_base_patch16_224,phase-scrambling,Probability,0004_ps_dnn_30_cat_10_n02123394_4633.png,11,0.9746361970901489
vit_base_patch16_224,phase-scrambling,Probability,0005_ps_dnn_120_knife_10_n03041632_48151.png,0,0.12116584926843643
vit_base_patch16_224,phase-scrambling,Probability,0005_ps_dnn_120_knife_10_n03041632_48151.png,1,0.08232548832893372
vit_base_patch16_224,phase-scrambling,Probability,0005_ps_dnn_120_knife_10_n03041632_48151.png,2,0.06520223617553711
vit_base_patch16_224,phase-scrambling,Probability,0005_ps_dnn_120_knife_10_n03041632_48151.png,3,0.05620504170656204
vit_base_patch16_224,phase-scrambling,Probability,0005_ps_dnn_120_knife_10_n03041632_48151.png,4,0.051472410559654236
vit_base_patch16_224,phase-scrambling,Probability,0005_ps_dnn_120_knife_10_n03041632_48151.png,5,0.04255915805697441
vit_base_patch16_224,phase-scrambling,Probability,0005_ps_dnn_120_knife_10_n03041632_48151.png,6,0.2105596661567688
vit_base_patch16_224,phase-scrambling,Probability,0005_ps_dnn_120_knife_10_n03041632_48151.png,7,0.10168997198343277
vit_base_patch16_224,phase-scrambling,Probability,0005_ps_dnn_120_knife_10_n03041632_48151.png,8,0.10887280851602554
vit_base_patch16_224,phase-scrambling,Probability,0005_ps_dnn_120_knife_10_n03041632_48151.png,9,0.1107902079820633
vit_base_patch16_224,phase-scrambling,Probability,0005_ps_dnn_120_knife_10_n03041632_48151.png,10,0.06077069044113159
vit_base_patch16_224,phase-scrambling,Probability,0005_ps_dnn_120_knife_10_n03041632_48151.png,11,0.05570954829454422
