subj,dataset_name,metric_name,stimulus,layer,value
vit_base_patch16_224,silhouette,Probability,airplane1.png,0,0.03375636413693428
vit_base_patch16_224,silhouette,Probability,airplane1.png,1,0.01894274353981018
vit_base_patch16_224,silhouette,Probability,airplane1.png,2,0.016638807952404022
vit_base_patch16_224,silhouette,Probability,airplane1.png,3,0.023926757276058197
vit_base_patch16_224,silhouette,Probability,airplane1.png,4,0.07353108376264572
vit_base_patch16_224,silhouette,Probability,airplane1.png,5,0.06180414929986
vit_base_patch16_224,silhouette,Probability,airplane1.png,6,0.040254540741443634
vit_base_patch16_224,silhouette,Probability,airplane1.png,7,0.026131439954042435
vit_base_patch16_224,silhouette,Probability,airplane1.png,8,0.047634389251470566
vit_base_patch16_224,silhouette,Probability,airplane1.png,9,0.11876646429300308
vit_base_patch16_224,silhouette,Probability,airplane1.png,10,0.5479209423065186
vit_base_patch16_224,silhouette,Probability,airplane1.png,11,0.8708269000053406
vit_base_patch16_224,silhouette,Probability,airplane10.png,0,0.033709581941366196
vit_base_patch16_224,silhouette,Probability,airplane10.png,1,0.016071701422333717
vit_base_patch16_224,silhouette,Probability,airplane10.png,2,0.013281328603625298
vit_base_patch16_224,silhouette,Probability,airplane10.png,3,0.019142217934131622
vit_base_patch16_224,silhouette,Probability,airplane10.png,4,0.05407312512397766
vit_base_patch16_224,silhouette,Probability,airplane10.png,5,0.04606454819440842
vit_base_patch16_224,silhouette,Probability,airplane10.png,6,0.04172910377383232
vit_base_patch16_224,silhouette,Probability,airplane10.png,7,0.021992571651935577
vit_base_patch16_224,silhouette,Probability,airplane10.png,8,0.03826243057847023
vit_base_patch16_224,silhouette,Probability,airplane10.png,9,0.07900568097829819
vit_base_patch16_224,silhouette,Probability,airplane10.png,10,0.6909912824630737
vit_base_patch16_224,silhouette,Probability,airplane10.png,11,0.8855521082878113
vit_base_patch16_224,silhouette,Probability,airplane2.png,0,0.03356316685676575
vit_base_patch16_224,silhouette,Probability,airplane2.png,1,0.016568364575505257
vit_base_patch16_224,silhouette,Probability,airplane2.png,2,0.01318082120269537
vit_base_patch16_224,silhouette,Probability,airplane2.png,3,0.018320361152291298
vit_base_patch16_224,silhouette,Probability,airplane2.png,4,0.05482623726129532
vit_base_patch16_224,silhouette,Probability,airplane2.png,5,0.057939622551202774
vit_base_patch16_224,silhouette,Probability,airplane2.png,6,0.05233336612582207
vit_base_patch16_224,silhouette,Probability,airplane2.png,7,0.02320810779929161
vit_base_patch16_224,silhouette,Probability,airplane2.png,8,0.036233872175216675
vit_base_patch16_224,silhouette,Probability,airplane2.png,9,0.11343272775411606
vit_base_patch16_224,silhouette,Probability,airplane2.png,10,0.45534369349479675
vit_base_patch16_224,silhouette,Probability,airplane2.png,11,0.7644729614257812
vit_base_patch16_224,silhouette,Probability,airplane3.png,0,0.03386852517724037
vit_base_patch16_224,silhouette,Probability,airplane3.png,1,0.017180807888507843
vit_base_patch16_224,silhouette,Probability,airplane3.png,2,0.016313619911670685
vit_base_patch16_224,silhouette,Probability,airplane3.png,3,0.023813612759113312
vit_base_patch16_224,silhouette,Probability,airplane3.png,4,0.07214462012052536
vit_base_patch16_224,silhouette,Probability,airplane3.png,5,0.05655360221862793
vit_base_patch16_224,silhouette,Probability,airplane3.png,6,0.055098943412303925
vit_base_patch16_224,silhouette,Probability,airplane3.png,7,0.03789137303829193
vit_base_patch16_224,silhouette,Probability,airplane3.png,8,0.06863534450531006
vit_base_patch16_224,silhouette,Probability,airplane3.png,9,0.12822768092155457
vit_base_patch16_224,silhouette,Probability,airplane3.png,10,0.604999840259552
vit_base_patch16_224,silhouette,Probability,airplane3.png,11,0.7625043392181396
vit_base_patch16_224,silhouette,Probability,airplane4.png,0,0.03366447240114212
vit_base_patch16_224,silhouette,Probability,airplane4.png,1,0.01743745058774948
vit_base_patch16_224,silhouette,Probability,airplane4.png,2,0.014651603996753693
vit_base_patch16_224,silhouette,Probability,airplane4.png,3,0.02204783447086811
vit_base_patch16_224,silhouette,Probability,airplane4.png,4,0.06601730734109879
vit_base_patch16_224,silhouette,Probability,airplane4.png,5,0.06074437499046326
vit_base_patch16_224,silhouette,Probability,airplane4.png,6,0.04967823624610901
vit_base_patch16_224,silhouette,Probability,airplane4.png,7,0.022922877222299576
vit_base_patch16_224,silhouette,Probability,airplane4.png,8,0.033441346138715744
vit_base_patch16_224,silhouette,Probability,airplane4.png,9,0.060861289501190186
vit_base_patch16_224,silhouette,Probability,airplane4.png,10,0.18699799478054047
vit_base_patch16_224,silhouette,Probability,airplane4.png,11,0.6223505139350891
vit_base_patch16_224,silhouette,Probability,airplane5.png,0,0.03326622024178505
vit_base_patch16_224,silhouette,Probability,airplane5.png,1,0.016109811142086983
vit_base_patch16_224,silhouette,Probability,airplane5.png,2,0.012612318620085716
vit_base_patch16_224,silhouette,Probability,airplane5.png,3,0.016938097774982452
vit_base_patch16_224,silhouette,Probability,airplane5.png,4,0.05023624747991562
vit_base_patch16_224,silhouette,Probability,airplane5.png,5,0.045288506895303726
vit_base_patch16_224,silhouette,Probability,airplane5.png,6,0.036811668425798416
vit_base_patch16_224,silhouette,Probability,airplane5.png,7,0.015345348045229912
