subj,dataset_name,metric_name,stimulus,layer,value
vit_base_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,0,0.034008048474788666
vit_base_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,1,0.0383077934384346
vit_base_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,2,0.03633850812911987
vit_base_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,3,0.05129217356443405
vit_base_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,4,0.1398872286081314
vit_base_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,5,0.2071847766637802
vit_base_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,6,0.32636040449142456
vit_base_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,7,0.22686561942100525
vit_base_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,8,0.17539924383163452
vit_base_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,9,0.18481799960136414
vit_base_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,10,0.6226632595062256
vit_base_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,11,0.9819194078445435
vit_base_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,0,0.033715806901454926
vit_base_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,1,0.015558081679046154
vit_base_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,2,0.01809595339000225
vit_base_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,3,0.025345109403133392
vit_base_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,4,0.05019478127360344
vit_base_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,5,0.06258062273263931
vit_base_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,6,0.09110637754201889
vit_base_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,7,0.06873904913663864
vit_base_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,8,0.07683100551366806
vit_base_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,9,0.0941908210515976
vit_base_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,10,0.140654057264328
vit_base_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,11,0.12015316635370255
vit_base_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,0,0.0336356945335865
vit_base_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,1,0.03095470927655697
vit_base_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,2,0.025822220370173454
vit_base_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,3,0.033655647188425064
vit_base_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,4,0.12468864768743515
vit_base_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,5,0.19841086864471436
vit_base_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,6,0.1554052233695984
vit_base_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,7,0.10884486883878708
vit_base_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,8,0.08156004548072815
vit_base_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,9,0.0640740767121315
vit_base_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,10,0.06610107421875
vit_base_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,11,0.037736762315034866
vit_base_patch16_224,stylized,Probability,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,0,0.03232286870479584
vit_base_patch16_224,stylized,Probability,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,1,0.030350254848599434
vit_base_patch16_224,stylized,Probability,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,2,0.02757372334599495
