subj,dataset_name,metric_name,stimulus,layer,value
vit_base_patch16_224,uniform-noise,Entropy,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,0,2.3428750038146973
vit_base_patch16_224,uniform-noise,Entropy,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,1,2.531367778778076
vit_base_patch16_224,uniform-noise,Entropy,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,2,2.5709362030029297
vit_base_patch16_224,uniform-noise,Entropy,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,3,2.616086006164551
vit_base_patch16_224,uniform-noise,Entropy,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,4,2.612309455871582
vit_base_patch16_224,uniform-noise,Entropy,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,5,2.5911593437194824
vit_base_patch16_224,uniform-noise,Entropy,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,6,2.496556520462036
vit_base_patch16_224,uniform-noise,Entropy,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,7,2.6872541904449463
vit_base_patch16_224,uniform-noise,Entropy,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,8,2.719667434692383
vit_base_patch16_224,uniform-noise,Entropy,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,9,2.7020797729492188
vit_base_patch16_224,uniform-noise,Entropy,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,10,0.41040390729904175
vit_base_patch16_224,uniform-noise,Entropy,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,11,0.12250349670648575
vit_base_patch16_224,uniform-noise,Entropy,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,0,2.3151135444641113
vit_base_patch16_224,uniform-noise,Entropy,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,1,2.594698905944824
vit_base_patch16_224,uniform-noise,Entropy,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,2,2.6405978202819824
vit_base_patch16_224,uniform-noise,Entropy,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,3,2.6481504440307617
vit_base_patch16_224,uniform-noise,Entropy,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,4,2.5232315063476562
vit_base_patch16_224,uniform-noise,Entropy,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,5,2.5221757888793945
vit_base_patch16_224,uniform-noise,Entropy,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,6,2.4910776615142822
vit_base_patch16_224,uniform-noise,Entropy,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,7,2.4875080585479736
vit_base_patch16_224,uniform-noise,Entropy,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,8,2.466696262359619
vit_base_patch16_224,uniform-noise,Entropy,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,9,2.6382322311401367
vit_base_patch16_224,uniform-noise,Entropy,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,10,2.626633405685425
vit_base_patch16_224,uniform-noise,Entropy,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,11,2.594080924987793
vit_base_patch16_224,uniform-noise,Entropy,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,0,2.3395981788635254
vit_base_patch16_224,uniform-noise,Entropy,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,1,2.5295023918151855
vit_base_patch16_224,uniform-noise,Entropy,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,2,2.58290958404541
vit_base_patch16_224,uniform-noise,Entropy,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,3,2.633638381958008
vit_base_patch16_224,uniform-noise,Entropy,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,4,2.605664014816284
vit_base_patch16_224,uniform-noise,Entropy,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,5,2.5484519004821777
vit_base_patch16_224,uniform-noise,Entropy,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,6,2.3966927528381348
vit_base_patch16_224,uniform-noise,Entropy,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,7,2.554626941680908
vit_base_patch16_224,uniform-noise,Entropy,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,8,2.6444005966186523
vit_base_patch16_224,uniform-noise,Entropy,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,9,2.5250191688537598
vit_base_patch16_224,uniform-noise,Entropy,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,10,1.1134271621704102
vit_base_patch16_224,uniform-noise,Entropy,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,11,0.3639459013938904
vit_base_patch16_224,uniform-noise,Entropy,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,0,2.3451552391052246
vit_base_patch16_224,uniform-noise,Entropy,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,1,2.532686233520508
vit_base_patch16_224,uniform-noise,Entropy,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,2,2.5742290019989014
vit_base_patch16_224,uniform-noise,Entropy,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,3,2.6212806701660156
vit_base_patch16_224,uniform-noise,Entropy,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,4,2.5808825492858887
vit_base_patch16_224,uniform-noise,Entropy,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,5,2.5254082679748535
vit_base_patch16_224,uniform-noise,Entropy,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,6,2.5124411582946777
vit_base_patch16_224,uniform-noise,Entropy,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,7,2.7131614685058594
vit_base_patch16_224,uniform-noise,Entropy,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,8,2.7237651348114014
vit_base_patch16_224,uniform-noise,Entropy,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,9,2.7142677307128906
vit_base_patch16_224,uniform-noise,Entropy,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,10,2.562145233154297
vit_base_patch16_224,uniform-noise,Entropy,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,11,1.7884817123413086
vit_base_patch16_224,uniform-noise,Entropy,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,0,2.3252105712890625
vit_base_patch16_224,uniform-noise,Entropy,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,1,2.533024787902832
vit_base_patch16_224,uniform-noise,Entropy,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,2,2.5857419967651367
vit_base_patch16_224,uniform-noise,Entropy,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,3,2.5861716270446777
vit_base_patch16_224,uniform-noise,Entropy,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,4,2.6232430934906006
vit_base_patch16_224,uniform-noise,Entropy,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,5,2.613710403442383
vit_base_patch16_224,uniform-noise,Entropy,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,6,2.593822479248047
vit_base_patch16_224,uniform-noise,Entropy,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,7,2.5012893676757812
vit_base_patch16_224,uniform-noise,Entropy,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,8,2.4825570583343506
vit_base_patch16_224,uniform-noise,Entropy,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,9,1.9490240812301636
vit_base_patch16_224,uniform-noise,Entropy,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,10,0.004912881180644035
vit_base_patch16_224,uniform-noise,Entropy,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,11,0.051512058824300766
vit_base_patch16_224,uniform-noise,Entropy,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,0,2.3421854972839355
vit_base_patch16_224,uniform-noise,Entropy,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,1,2.5312821865081787
vit_base_patch16_224,uniform-noise,Entropy,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,2,2.5747594833374023
vit_base_patch16_224,uniform-noise,Entropy,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,3,2.6108717918395996
vit_base_patch16_224,uniform-noise,Entropy,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,4,2.6101083755493164
vit_base_patch16_224,uniform-noise,Entropy,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,5,2.6110105514526367
vit_base_patch16_224,uniform-noise,Entropy,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,6,2.5001707077026367
vit_base_patch16_224,uniform-noise,Entropy,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,7,2.684584617614746
vit_base_patch16_224,uniform-noise,Entropy,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,8,2.715707302093506
vit_base_patch16_224,uniform-noise,Entropy,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,9,2.6584889888763428
vit_base_patch16_224,uniform-noise,Entropy,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,10,2.138045310974121
vit_base_patch16_224,uniform-noise,Entropy,0006_nse_dnn_0.03_clock_10_n02708093_8100.png,11,1.3029758930206299
vit_base_patch16_224,uniform-noise,Entropy,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,0,2.335895299911499
vit_base_patch16_224,uniform-noise,Entropy,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,1,2.537313938140869
vit_base_patch16_224,uniform-noise,Entropy,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,2,2.590635299682617
vit_base_patch16_224,uniform-noise,Entropy,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,3,2.6359128952026367
vit_base_patch16_224,uniform-noise,Entropy,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,4,2.616018295288086
vit_base_patch16_224,uniform-noise,Entropy,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,5,2.590402126312256
vit_base_patch16_224,uniform-noise,Entropy,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,6,2.5132334232330322
vit_base_patch16_224,uniform-noise,Entropy,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,7,2.490119218826294
vit_base_patch16_224,uniform-noise,Entropy,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,8,2.5043134689331055
vit_base_patch16_224,uniform-noise,Entropy,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,9,1.8820427656173706
vit_base_patch16_224,uniform-noise,Entropy,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,10,0.1038164347410202
vit_base_patch16_224,uniform-noise,Entropy,0007_nse_dnn_0.00_clock_10_n02708093_3591.png,11,0.19350963830947876
vit_base_patch16_224,uniform-noise,Entropy,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,0,2.341398000717163
vit_base_patch16_224,uniform-noise,Entropy,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,1,2.533177375793457
vit_base_patch16_224,uniform-noise,Entropy,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,2,2.5878171920776367
vit_base_patch16_224,uniform-noise,Entropy,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,3,2.631579875946045
vit_base_patch16_224,uniform-noise,Entropy,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,4,2.626951217651367
vit_base_patch16_224,uniform-noise,Entropy,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,5,2.5908055305480957
vit_base_patch16_224,uniform-noise,Entropy,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,6,2.3530020713806152
vit_base_patch16_224,uniform-noise,Entropy,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,7,2.6155056953430176
vit_base_patch16_224,uniform-noise,Entropy,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,8,2.680717706680298
vit_base_patch16_224,uniform-noise,Entropy,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,9,2.6925384998321533
vit_base_patch16_224,uniform-noise,Entropy,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,10,1.4813783168792725
vit_base_patch16_224,uniform-noise,Entropy,0008_nse_dnn_0.00_chair_10_n03376595_16202.png,11,0.16159115731716156
vit_base_patch16_224,uniform-noise,Entropy,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,0,2.32119083404541
vit_base_patch16_224,uniform-noise,Entropy,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,1,2.5917739868164062
vit_base_patch16_224,uniform-noise,Entropy,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,2,2.637885808944702
vit_base_patch16_224,uniform-noise,Entropy,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,3,2.6406126022338867
vit_base_patch16_224,uniform-noise,Entropy,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,4,2.537677764892578
vit_base_patch16_224,uniform-noise,Entropy,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,5,2.5247015953063965
vit_base_patch16_224,uniform-noise,Entropy,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,6,2.5399386882781982
vit_base_patch16_224,uniform-noise,Entropy,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,7,2.569418430328369
vit_base_patch16_224,uniform-noise,Entropy,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,8,2.6793556213378906
vit_base_patch16_224,uniform-noise,Entropy,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,9,2.7173867225646973
vit_base_patch16_224,uniform-noise,Entropy,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,10,2.667572021484375
vit_base_patch16_224,uniform-noise,Entropy,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png,11,2.539442539215088
vit_base_patch16_224,uniform-noise,Entropy,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,0,2.331176280975342
vit_base_patch16_224,uniform-noise,Entropy,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,1,2.5386929512023926
vit_base_patch16_224,uniform-noise,Entropy,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,2,2.592864513397217
vit_base_patch16_224,uniform-noise,Entropy,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,3,2.5901591777801514
vit_base_patch16_224,uniform-noise,Entropy,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,4,2.585995674133301
vit_base_patch16_224,uniform-noise,Entropy,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,5,2.4819326400756836
vit_base_patch16_224,uniform-noise,Entropy,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,6,2.526580333709717
vit_base_patch16_224,uniform-noise,Entropy,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,7,2.6521522998809814
vit_base_patch16_224,uniform-noise,Entropy,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,8,2.6780312061309814
vit_base_patch16_224,uniform-noise,Entropy,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,9,2.6390249729156494
vit_base_patch16_224,uniform-noise,Entropy,0010_nse_dnn_0.10_dog_10_n02087394_28673.png,10,1.1801807880401611
