subj,dataset_name,metric_name,stimulus,layer,value
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,0,0.08333333333333333
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,1,0.3333333333333333
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,2,1.0
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,3,0.5
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,4,0.3333333333333333
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,5,0.3333333333333333
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,6,0.5
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,7,0.5
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,8,0.5
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,9,1.0
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,10,1.0
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png,11,1.0
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,0,0.5
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,1,0.25
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,2,0.25
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,3,0.3333333333333333
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,4,0.14285714285714285
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,5,0.1111111111111111
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,6,0.5
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,7,1.0
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,8,1.0
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,9,1.0
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,10,0.2
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0002_nse_dnn_0.90_knife_10_n03041632_82878.png,11,0.25
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,0,0.06666666666666667
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,1,0.06666666666666667
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,2,0.06666666666666667
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,3,0.08333333333333333
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,4,0.09090909090909091
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,5,0.2
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,6,0.2
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,7,1.0
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,8,1.0
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,9,1.0
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,10,1.0
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0003_nse_dnn_0.00_clock_10_n03196217_9231.png,11,1.0
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,0,0.2
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,1,0.09090909090909091
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,2,0.08333333333333333
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,3,0.0625
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,4,0.0625
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,5,0.0625
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,6,0.06666666666666667
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,7,0.08333333333333333
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,8,0.125
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,9,0.3333333333333333
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,10,1.0
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0004_nse_dnn_0.00_oven_10_n04111531_11026.png,11,0.5
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,0,0.06666666666666667
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,1,0.06666666666666667
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,2,0.0625
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,3,0.07692307692307693
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,4,0.07692307692307693
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,5,0.2
vit_base_patch16_224,uniform-noise,Layerwise Reciprocal Rank,0005_nse_dnn_0.10_clock_10_n04548280_1114.png,6,1.0
