subj,dataset_name,metric_name,stimulus,layer,value
vit_small_patch16_224,contrast,Entropy,0001_cop_dnn_c30_knife_10_n03041632_7380.png,0,2.1938130855560303
vit_small_patch16_224,contrast,Entropy,0001_cop_dnn_c30_knife_10_n03041632_7380.png,1,2.3203258514404297
vit_small_patch16_224,contrast,Entropy,0001_cop_dnn_c30_knife_10_n03041632_7380.png,2,2.2476601600646973
vit_small_patch16_224,contrast,Entropy,0001_cop_dnn_c30_knife_10_n03041632_7380.png,3,2.209959030151367
vit_small_patch16_224,contrast,Entropy,0001_cop_dnn_c30_knife_10_n03041632_7380.png,4,2.20219349861145
vit_small_patch16_224,contrast,Entropy,0001_cop_dnn_c30_knife_10_n03041632_7380.png,5,2.039052963256836
vit_small_patch16_224,contrast,Entropy,0001_cop_dnn_c30_knife_10_n03041632_7380.png,6,1.865051507949829
vit_small_patch16_224,contrast,Entropy,0001_cop_dnn_c30_knife_10_n03041632_7380.png,7,2.4582090377807617
vit_small_patch16_224,contrast,Entropy,0001_cop_dnn_c30_knife_10_n03041632_7380.png,8,2.700641632080078
vit_small_patch16_224,contrast,Entropy,0001_cop_dnn_c30_knife_10_n03041632_7380.png,9,2.7156779766082764
vit_small_patch16_224,contrast,Entropy,0001_cop_dnn_c30_knife_10_n03041632_7380.png,10,2.659191131591797
vit_small_patch16_224,contrast,Entropy,0001_cop_dnn_c30_knife_10_n03041632_7380.png,11,0.12373174726963043
vit_small_patch16_224,contrast,Entropy,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,0,2.2137653827667236
vit_small_patch16_224,contrast,Entropy,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,1,2.4075067043304443
vit_small_patch16_224,contrast,Entropy,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,2,2.3871569633483887
vit_small_patch16_224,contrast,Entropy,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,3,2.3414173126220703
vit_small_patch16_224,contrast,Entropy,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,4,2.2675821781158447
vit_small_patch16_224,contrast,Entropy,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,5,1.8122798204421997
vit_small_patch16_224,contrast,Entropy,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,6,1.326268196105957
vit_small_patch16_224,contrast,Entropy,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,7,2.393199920654297
vit_small_patch16_224,contrast,Entropy,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,8,2.710062026977539
vit_small_patch16_224,contrast,Entropy,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,9,2.744412899017334
vit_small_patch16_224,contrast,Entropy,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,10,2.1714956760406494
vit_small_patch16_224,contrast,Entropy,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,11,0.06024427339434624
vit_small_patch16_224,contrast,Entropy,0003_cop_dnn_c01_bird_10_n01601694_10802.png,0,2.1970221996307373
vit_small_patch16_224,contrast,Entropy,0003_cop_dnn_c01_bird_10_n01601694_10802.png,1,2.260279655456543
vit_small_patch16_224,contrast,Entropy,0003_cop_dnn_c01_bird_10_n01601694_10802.png,2,2.2051587104797363
vit_small_patch16_224,contrast,Entropy,0003_cop_dnn_c01_bird_10_n01601694_10802.png,3,2.221701145172119
vit_small_patch16_224,contrast,Entropy,0003_cop_dnn_c01_bird_10_n01601694_10802.png,4,2.160306453704834
vit_small_patch16_224,contrast,Entropy,0003_cop_dnn_c01_bird_10_n01601694_10802.png,5,1.8898587226867676
vit_small_patch16_224,contrast,Entropy,0003_cop_dnn_c01_bird_10_n01601694_10802.png,6,2.0771546363830566
vit_small_patch16_224,contrast,Entropy,0003_cop_dnn_c01_bird_10_n01601694_10802.png,7,2.383315324783325
vit_small_patch16_224,contrast,Entropy,0003_cop_dnn_c01_bird_10_n01601694_10802.png,8,2.7114362716674805
vit_small_patch16_224,contrast,Entropy,0003_cop_dnn_c01_bird_10_n01601694_10802.png,9,2.7317752838134766
vit_small_patch16_224,contrast,Entropy,0003_cop_dnn_c01_bird_10_n01601694_10802.png,10,2.7316665649414062
vit_small_patch16_224,contrast,Entropy,0003_cop_dnn_c01_bird_10_n01601694_10802.png,11,2.275393009185791
vit_small_patch16_224,contrast,Entropy,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,0,2.195493221282959
vit_small_patch16_224,contrast,Entropy,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,1,2.2665514945983887
vit_small_patch16_224,contrast,Entropy,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,2,2.2093493938446045
vit_small_patch16_224,contrast,Entropy,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,3,2.221782684326172
vit_small_patch16_224,contrast,Entropy,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,4,2.107016086578369
vit_small_patch16_224,contrast,Entropy,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,5,2.0068886280059814
vit_small_patch16_224,contrast,Entropy,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,6,2.018651008605957
vit_small_patch16_224,contrast,Entropy,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,7,2.281709671020508
vit_small_patch16_224,contrast,Entropy,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,8,2.71094012260437
vit_small_patch16_224,contrast,Entropy,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,9,2.7292795181274414
vit_small_patch16_224,contrast,Entropy,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,10,2.529736042022705
vit_small_patch16_224,contrast,Entropy,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,11,0.04046782851219177
