subj,dataset_name,metric_name,stimulus,layer,value
vit_small_patch16_224,cue-conflict,Entropy,airplane1-bicycle2.png,0,2.2127952575683594
vit_small_patch16_224,cue-conflict,Entropy,airplane1-bicycle2.png,1,2.3979203701019287
vit_small_patch16_224,cue-conflict,Entropy,airplane1-bicycle2.png,2,2.3455393314361572
vit_small_patch16_224,cue-conflict,Entropy,airplane1-bicycle2.png,3,2.3143136501312256
vit_small_patch16_224,cue-conflict,Entropy,airplane1-bicycle2.png,4,2.312119483947754
vit_small_patch16_224,cue-conflict,Entropy,airplane1-bicycle2.png,5,2.127500057220459
vit_small_patch16_224,cue-conflict,Entropy,airplane1-bicycle2.png,6,2.2914698123931885
vit_small_patch16_224,cue-conflict,Entropy,airplane1-bicycle2.png,7,2.6209893226623535
vit_small_patch16_224,cue-conflict,Entropy,airplane1-bicycle2.png,8,2.755838394165039
vit_small_patch16_224,cue-conflict,Entropy,airplane1-bicycle2.png,9,2.753713607788086
vit_small_patch16_224,cue-conflict,Entropy,airplane1-bicycle2.png,10,2.7465178966522217
vit_small_patch16_224,cue-conflict,Entropy,airplane1-bicycle2.png,11,0.08429545164108276
vit_small_patch16_224,cue-conflict,Entropy,airplane1-chair2.png,0,2.2100305557250977
vit_small_patch16_224,cue-conflict,Entropy,airplane1-chair2.png,1,2.381716251373291
vit_small_patch16_224,cue-conflict,Entropy,airplane1-chair2.png,2,2.3197338581085205
vit_small_patch16_224,cue-conflict,Entropy,airplane1-chair2.png,3,2.257445812225342
vit_small_patch16_224,cue-conflict,Entropy,airplane1-chair2.png,4,2.1361823081970215
vit_small_patch16_224,cue-conflict,Entropy,airplane1-chair2.png,5,2.0857439041137695
vit_small_patch16_224,cue-conflict,Entropy,airplane1-chair2.png,6,2.0768470764160156
vit_small_patch16_224,cue-conflict,Entropy,airplane1-chair2.png,7,2.579812526702881
vit_small_patch16_224,cue-conflict,Entropy,airplane1-chair2.png,8,2.7353503704071045
vit_small_patch16_224,cue-conflict,Entropy,airplane1-chair2.png,9,2.758359432220459
vit_small_patch16_224,cue-conflict,Entropy,airplane1-chair2.png,10,2.7485103607177734
vit_small_patch16_224,cue-conflict,Entropy,airplane1-chair2.png,11,1.6196666955947876
vit_small_patch16_224,cue-conflict,Entropy,airplane1-clock1.png,0,2.2149763107299805
vit_small_patch16_224,cue-conflict,Entropy,airplane1-clock1.png,1,2.3731343746185303
vit_small_patch16_224,cue-conflict,Entropy,airplane1-clock1.png,2,2.339406967163086
vit_small_patch16_224,cue-conflict,Entropy,airplane1-clock1.png,3,2.2582695484161377
vit_small_patch16_224,cue-conflict,Entropy,airplane1-clock1.png,4,2.1242756843566895
vit_small_patch16_224,cue-conflict,Entropy,airplane1-clock1.png,5,1.8597595691680908
vit_small_patch16_224,cue-conflict,Entropy,airplane1-clock1.png,6,1.7832616567611694
vit_small_patch16_224,cue-conflict,Entropy,airplane1-clock1.png,7,2.4387454986572266
vit_small_patch16_224,cue-conflict,Entropy,airplane1-clock1.png,8,2.718977928161621
vit_small_patch16_224,cue-conflict,Entropy,airplane1-clock1.png,9,2.7457807064056396
vit_small_patch16_224,cue-conflict,Entropy,airplane1-clock1.png,10,2.6965997219085693
vit_small_patch16_224,cue-conflict,Entropy,airplane1-clock1.png,11,0.023894453421235085
vit_small_patch16_224,cue-conflict,Entropy,airplane1-elephant1.png,0,2.2081098556518555
vit_small_patch16_224,cue-conflict,Entropy,airplane1-elephant1.png,1,2.396097183227539
vit_small_patch16_224,cue-conflict,Entropy,airplane1-elephant1.png,2,2.3491854667663574
vit_small_patch16_224,cue-conflict,Entropy,airplane1-elephant1.png,3,2.324577808380127
vit_small_patch16_224,cue-conflict,Entropy,airplane1-elephant1.png,4,2.274604320526123
vit_small_patch16_224,cue-conflict,Entropy,airplane1-elephant1.png,5,2.1434106826782227
vit_small_patch16_224,cue-conflict,Entropy,airplane1-elephant1.png,6,2.3255691528320312
vit_small_patch16_224,cue-conflict,Entropy,airplane1-elephant1.png,7,2.5818567276000977
vit_small_patch16_224,cue-conflict,Entropy,airplane1-elephant1.png,8,2.7161450386047363
vit_small_patch16_224,cue-conflict,Entropy,airplane1-elephant1.png,9,2.719996213912964
vit_small_patch16_224,cue-conflict,Entropy,airplane1-elephant1.png,10,2.66841459274292
vit_small_patch16_224,cue-conflict,Entropy,airplane1-elephant1.png,11,0.7821782827377319
vit_small_patch16_224,cue-conflict,Entropy,airplane10-airplane1.png,0,2.2055110931396484
vit_small_patch16_224,cue-conflict,Entropy,airplane10-airplane1.png,1,2.3654298782348633
vit_small_patch16_224,cue-conflict,Entropy,airplane10-airplane1.png,2,2.312988519668579
vit_small_patch16_224,cue-conflict,Entropy,airplane10-airplane1.png,3,2.2564282417297363
vit_small_patch16_224,cue-conflict,Entropy,airplane10-airplane1.png,4,2.1871182918548584
vit_small_patch16_224,cue-conflict,Entropy,airplane10-airplane1.png,5,1.8896772861480713
vit_small_patch16_224,cue-conflict,Entropy,airplane10-airplane1.png,6,1.624468445777893
vit_small_patch16_224,cue-conflict,Entropy,airplane10-airplane1.png,7,2.38208270072937
vit_small_patch16_224,cue-conflict,Entropy,airplane10-airplane1.png,8,2.7054996490478516
vit_small_patch16_224,cue-conflict,Entropy,airplane10-airplane1.png,9,2.7420248985290527
vit_small_patch16_224,cue-conflict,Entropy,airplane10-airplane1.png,10,2.6963744163513184
vit_small_patch16_224,cue-conflict,Entropy,airplane10-airplane1.png,11,0.04287566989660263
vit_small_patch16_224,cue-conflict,Entropy,airplane10-bear3.png,0,2.202725648880005
vit_small_patch16_224,cue-conflict,Entropy,airplane10-bear3.png,1,2.39213228225708
vit_small_patch16_224,cue-conflict,Entropy,airplane10-bear3.png,2,2.394888401031494
