subj,dataset_name,metric_name,stimulus,layer,value
vit_small_patch16_224,cue-conflict,Probability,airplane1-bicycle2.png,0,0.16890034079551697
vit_small_patch16_224,cue-conflict,Probability,airplane1-bicycle2.png,1,0.14793768525123596
vit_small_patch16_224,cue-conflict,Probability,airplane1-bicycle2.png,2,0.1229407861828804
vit_small_patch16_224,cue-conflict,Probability,airplane1-bicycle2.png,3,0.13163912296295166
vit_small_patch16_224,cue-conflict,Probability,airplane1-bicycle2.png,4,0.14385084807872772
vit_small_patch16_224,cue-conflict,Probability,airplane1-bicycle2.png,5,0.14493849873542786
vit_small_patch16_224,cue-conflict,Probability,airplane1-bicycle2.png,6,0.17987243831157684
vit_small_patch16_224,cue-conflict,Probability,airplane1-bicycle2.png,7,0.08782471716403961
vit_small_patch16_224,cue-conflict,Probability,airplane1-bicycle2.png,8,0.07159508764743805
vit_small_patch16_224,cue-conflict,Probability,airplane1-bicycle2.png,9,0.06343358755111694
vit_small_patch16_224,cue-conflict,Probability,airplane1-bicycle2.png,10,0.06864974647760391
vit_small_patch16_224,cue-conflict,Probability,airplane1-bicycle2.png,11,0.0003882504242938012
vit_small_patch16_224,cue-conflict,Probability,airplane1-chair2.png,0,0.16579194366931915
vit_small_patch16_224,cue-conflict,Probability,airplane1-chair2.png,1,0.1473880261182785
vit_small_patch16_224,cue-conflict,Probability,airplane1-chair2.png,2,0.13033287227153778
vit_small_patch16_224,cue-conflict,Probability,airplane1-chair2.png,3,0.12229690700769424
vit_small_patch16_224,cue-conflict,Probability,airplane1-chair2.png,4,0.09146878868341446
vit_small_patch16_224,cue-conflict,Probability,airplane1-chair2.png,5,0.10020937770605087
vit_small_patch16_224,cue-conflict,Probability,airplane1-chair2.png,6,0.11737295240163803
vit_small_patch16_224,cue-conflict,Probability,airplane1-chair2.png,7,0.10919506847858429
vit_small_patch16_224,cue-conflict,Probability,airplane1-chair2.png,8,0.07775254547595978
vit_small_patch16_224,cue-conflict,Probability,airplane1-chair2.png,9,0.06511370837688446
vit_small_patch16_224,cue-conflict,Probability,airplane1-chair2.png,10,0.06567353755235672
vit_small_patch16_224,cue-conflict,Probability,airplane1-chair2.png,11,0.03399057313799858
vit_small_patch16_224,cue-conflict,Probability,airplane1-clock1.png,0,0.16572782397270203
vit_small_patch16_224,cue-conflict,Probability,airplane1-clock1.png,1,0.16312530636787415
vit_small_patch16_224,cue-conflict,Probability,airplane1-clock1.png,2,0.15708571672439575
vit_small_patch16_224,cue-conflict,Probability,airplane1-clock1.png,3,0.15067683160305023
vit_small_patch16_224,cue-conflict,Probability,airplane1-clock1.png,4,0.1283632516860962
vit_small_patch16_224,cue-conflict,Probability,airplane1-clock1.png,5,0.12155420333147049
vit_small_patch16_224,cue-conflict,Probability,airplane1-clock1.png,6,0.1504613310098648
vit_small_patch16_224,cue-conflict,Probability,airplane1-clock1.png,7,0.09185050427913666
vit_small_patch16_224,cue-conflict,Probability,airplane1-clock1.png,8,0.07541219890117645
vit_small_patch16_224,cue-conflict,Probability,airplane1-clock1.png,9,0.059307701885700226
vit_small_patch16_224,cue-conflict,Probability,airplane1-clock1.png,10,0.04899837449193001
vit_small_patch16_224,cue-conflict,Probability,airplane1-clock1.png,11,2.5265817384934053e-05
vit_small_patch16_224,cue-conflict,Probability,airplane1-elephant1.png,0,0.17088809609413147
vit_small_patch16_224,cue-conflict,Probability,airplane1-elephant1.png,1,0.15507769584655762
vit_small_patch16_224,cue-conflict,Probability,airplane1-elephant1.png,2,0.1382989138364792
vit_small_patch16_224,cue-conflict,Probability,airplane1-elephant1.png,3,0.14928856492042542
vit_small_patch16_224,cue-conflict,Probability,airplane1-elephant1.png,4,0.09269338846206665
