subj,dataset_name,metric_name,stimulus,layer,value
vit_small_patch16_224,edge,Entropy,airplane1.png,0,2.198556661605835
vit_small_patch16_224,edge,Entropy,airplane1.png,1,2.3616743087768555
vit_small_patch16_224,edge,Entropy,airplane1.png,2,2.268685817718506
vit_small_patch16_224,edge,Entropy,airplane1.png,3,2.3395588397979736
vit_small_patch16_224,edge,Entropy,airplane1.png,4,2.225351333618164
vit_small_patch16_224,edge,Entropy,airplane1.png,5,1.7260558605194092
vit_small_patch16_224,edge,Entropy,airplane1.png,6,1.6200504302978516
vit_small_patch16_224,edge,Entropy,airplane1.png,7,2.3302648067474365
vit_small_patch16_224,edge,Entropy,airplane1.png,8,2.641904354095459
vit_small_patch16_224,edge,Entropy,airplane1.png,9,2.673027515411377
vit_small_patch16_224,edge,Entropy,airplane1.png,10,2.6510047912597656
vit_small_patch16_224,edge,Entropy,airplane1.png,11,1.6409862041473389
vit_small_patch16_224,edge,Entropy,airplane10.png,0,2.2018775939941406
vit_small_patch16_224,edge,Entropy,airplane10.png,1,2.350693702697754
vit_small_patch16_224,edge,Entropy,airplane10.png,2,2.2603297233581543
vit_small_patch16_224,edge,Entropy,airplane10.png,3,2.3135149478912354
vit_small_patch16_224,edge,Entropy,airplane10.png,4,2.1614468097686768
vit_small_patch16_224,edge,Entropy,airplane10.png,5,1.713606357574463
vit_small_patch16_224,edge,Entropy,airplane10.png,6,1.8143922090530396
vit_small_patch16_224,edge,Entropy,airplane10.png,7,2.478116512298584
vit_small_patch16_224,edge,Entropy,airplane10.png,8,2.6617274284362793
vit_small_patch16_224,edge,Entropy,airplane10.png,9,2.705953598022461
vit_small_patch16_224,edge,Entropy,airplane10.png,10,2.6813578605651855
vit_small_patch16_224,edge,Entropy,airplane10.png,11,1.9203052520751953
vit_small_patch16_224,edge,Entropy,airplane2.png,0,2.202874183654785
vit_small_patch16_224,edge,Entropy,airplane2.png,1,2.3553433418273926
vit_small_patch16_224,edge,Entropy,airplane2.png,2,2.2705509662628174
vit_small_patch16_224,edge,Entropy,airplane2.png,3,2.3014438152313232
vit_small_patch16_224,edge,Entropy,airplane2.png,4,2.1506686210632324
vit_small_patch16_224,edge,Entropy,airplane2.png,5,1.8295406103134155
vit_small_patch16_224,edge,Entropy,airplane2.png,6,1.5427687168121338
vit_small_patch16_224,edge,Entropy,airplane2.png,7,2.409653663635254
vit_small_patch16_224,edge,Entropy,airplane2.png,8,2.6232712268829346
vit_small_patch16_224,edge,Entropy,airplane2.png,9,2.6752219200134277
vit_small_patch16_224,edge,Entropy,airplane2.png,10,2.690026044845581
vit_small_patch16_224,edge,Entropy,airplane2.png,11,2.048234224319458
vit_small_patch16_224,edge,Entropy,airplane3.png,0,2.1963346004486084
