subj,dataset_name,metric_name,stimulus,layer,value
vit_small_patch16_224,edge,Probability,airplane1.png,0,0.18741634488105774
vit_small_patch16_224,edge,Probability,airplane1.png,1,0.20917785167694092
vit_small_patch16_224,edge,Probability,airplane1.png,2,0.19931155443191528
vit_small_patch16_224,edge,Probability,airplane1.png,3,0.19041325151920319
vit_small_patch16_224,edge,Probability,airplane1.png,4,0.16667522490024567
vit_small_patch16_224,edge,Probability,airplane1.png,5,0.11400464177131653
vit_small_patch16_224,edge,Probability,airplane1.png,6,0.06575297564268112
vit_small_patch16_224,edge,Probability,airplane1.png,7,0.057425983250141144
vit_small_patch16_224,edge,Probability,airplane1.png,8,0.05071746185421944
vit_small_patch16_224,edge,Probability,airplane1.png,9,0.05216295272111893
vit_small_patch16_224,edge,Probability,airplane1.png,10,0.05503697693347931
vit_small_patch16_224,edge,Probability,airplane1.png,11,0.004018373321741819
vit_small_patch16_224,edge,Probability,airplane10.png,0,0.18422119319438934
vit_small_patch16_224,edge,Probability,airplane10.png,1,0.21064092218875885
vit_small_patch16_224,edge,Probability,airplane10.png,2,0.18443992733955383
vit_small_patch16_224,edge,Probability,airplane10.png,3,0.17240698635578156
vit_small_patch16_224,edge,Probability,airplane10.png,4,0.1596643626689911
vit_small_patch16_224,edge,Probability,airplane10.png,5,0.10547725111246109
vit_small_patch16_224,edge,Probability,airplane10.png,6,0.07214770466089249
vit_small_patch16_224,edge,Probability,airplane10.png,7,0.05859384685754776
vit_small_patch16_224,edge,Probability,airplane10.png,8,0.05466613918542862
vit_small_patch16_224,edge,Probability,airplane10.png,9,0.04477434977889061
vit_small_patch16_224,edge,Probability,airplane10.png,10,0.04446852207183838
vit_small_patch16_224,edge,Probability,airplane10.png,11,0.00898454524576664
vit_small_patch16_224,edge,Probability,airplane2.png,0,0.18266519904136658
vit_small_patch16_224,edge,Probability,airplane2.png,1,0.200125589966774
vit_small_patch16_224,edge,Probability,airplane2.png,2,0.1724376231431961
vit_small_patch16_224,edge,Probability,airplane2.png,3,0.15383444726467133
vit_small_patch16_224,edge,Probability,airplane2.png,4,0.15616780519485474
vit_small_patch16_224,edge,Probability,airplane2.png,5,0.13480396568775177
vit_small_patch16_224,edge,Probability,airplane2.png,6,0.059701576828956604
vit_small_patch16_224,edge,Probability,airplane2.png,7,0.05693884938955307
vit_small_patch16_224,edge,Probability,airplane2.png,8,0.04799586161971092
vit_small_patch16_224,edge,Probability,airplane2.png,9,0.054690562188625336
vit_small_patch16_224,edge,Probability,airplane2.png,10,0.05576447769999504
vit_small_patch16_224,edge,Probability,airplane2.png,11,0.012992526404559612
vit_small_patch16_224,edge,Probability,airplane3.png,0,0.18931414186954498
vit_small_patch16_224,edge,Probability,airplane3.png,1,0.22094209492206573
vit_small_patch16_224,edge,Probability,airplane3.png,2,0.21522998809814453
vit_small_patch16_224,edge,Probability,airplane3.png,3,0.2076205611228943
vit_small_patch16_224,edge,Probability,airplane3.png,4,0.18213792145252228
vit_small_patch16_224,edge,Probability,airplane3.png,5,0.11103001236915588
vit_small_patch16_224,edge,Probability,airplane3.png,6,0.0773494765162468
vit_small_patch16_224,edge,Probability,airplane3.png,7,0.061865437775850296
vit_small_patch16_224,edge,Probability,airplane3.png,8,0.053098518401384354
vit_small_patch16_224,edge,Probability,airplane3.png,9,0.06208294257521629
vit_small_patch16_224,edge,Probability,airplane3.png,10,0.051315322518348694
vit_small_patch16_224,edge,Probability,airplane3.png,11,0.02875537797808647
vit_small_patch16_224,edge,Probability,airplane4.png,0,0.18634051084518433
vit_small_patch16_224,edge,Probability,airplane4.png,1,0.21170853078365326
vit_small_patch16_224,edge,Probability,airplane4.png,2,0.18910981714725494
vit_small_patch16_224,edge,Probability,airplane4.png,3,0.17455153167247772
vit_small_patch16_224,edge,Probability,airplane4.png,4,0.16025923192501068
