subj,dataset_name,metric_name,stimulus,layer,value
vit_small_patch16_224,high-pass,Entropy,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,0,2.2062325477600098
vit_small_patch16_224,high-pass,Entropy,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,1,2.3139243125915527
vit_small_patch16_224,high-pass,Entropy,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,2,2.266731023788452
vit_small_patch16_224,high-pass,Entropy,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,3,2.2254176139831543
vit_small_patch16_224,high-pass,Entropy,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,4,2.0953476428985596
vit_small_patch16_224,high-pass,Entropy,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,5,1.678499698638916
vit_small_patch16_224,high-pass,Entropy,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,6,1.813629388809204
vit_small_patch16_224,high-pass,Entropy,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,7,2.4742727279663086
vit_small_patch16_224,high-pass,Entropy,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,8,2.7335920333862305
vit_small_patch16_224,high-pass,Entropy,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,9,2.7473955154418945
vit_small_patch16_224,high-pass,Entropy,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,10,2.7403154373168945
vit_small_patch16_224,high-pass,Entropy,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,11,0.864543080329895
vit_small_patch16_224,high-pass,Entropy,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,0,2.1966278553009033
vit_small_patch16_224,high-pass,Entropy,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,1,2.3475265502929688
vit_small_patch16_224,high-pass,Entropy,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,2,2.2947192192077637
vit_small_patch16_224,high-pass,Entropy,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,3,2.260051727294922
vit_small_patch16_224,high-pass,Entropy,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,4,2.1233530044555664
vit_small_patch16_224,high-pass,Entropy,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,5,1.5263503789901733
vit_small_patch16_224,high-pass,Entropy,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,6,1.6085366010665894
vit_small_patch16_224,high-pass,Entropy,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,7,2.3463633060455322
vit_small_patch16_224,high-pass,Entropy,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,8,2.6904783248901367
vit_small_patch16_224,high-pass,Entropy,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,9,2.736083507537842
vit_small_patch16_224,high-pass,Entropy,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,10,2.735058546066284
vit_small_patch16_224,high-pass,Entropy,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,11,0.11753080785274506
vit_small_patch16_224,high-pass,Entropy,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,0,2.204385280609131
vit_small_patch16_224,high-pass,Entropy,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,1,2.3156468868255615
vit_small_patch16_224,high-pass,Entropy,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,2,2.2509665489196777
vit_small_patch16_224,high-pass,Entropy,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,3,2.219468355178833
vit_small_patch16_224,high-pass,Entropy,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,4,2.006906032562256
vit_small_patch16_224,high-pass,Entropy,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,5,1.4476494789123535
vit_small_patch16_224,high-pass,Entropy,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,6,1.5936647653579712
vit_small_patch16_224,high-pass,Entropy,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,7,2.383043050765991
vit_small_patch16_224,high-pass,Entropy,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,8,2.6918396949768066
vit_small_patch16_224,high-pass,Entropy,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,9,2.7426888942718506
vit_small_patch16_224,high-pass,Entropy,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,10,2.7466893196105957
vit_small_patch16_224,high-pass,Entropy,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,11,2.052893877029419
vit_small_patch16_224,high-pass,Entropy,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,0,2.2035744190216064
vit_small_patch16_224,high-pass,Entropy,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,1,2.3516881465911865
vit_small_patch16_224,high-pass,Entropy,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,2,2.2851624488830566
vit_small_patch16_224,high-pass,Entropy,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,3,2.2422032356262207
vit_small_patch16_224,high-pass,Entropy,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,4,2.106889009475708
vit_small_patch16_224,high-pass,Entropy,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,5,1.5587618350982666
vit_small_patch16_224,high-pass,Entropy,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,6,1.6907312870025635
vit_small_patch16_224,high-pass,Entropy,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,7,2.48293137550354
vit_small_patch16_224,high-pass,Entropy,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,8,2.724045753479004
vit_small_patch16_224,high-pass,Entropy,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,9,2.746623992919922
vit_small_patch16_224,high-pass,Entropy,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,10,2.740668773651123
vit_small_patch16_224,high-pass,Entropy,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,11,2.1678524017333984
vit_small_patch16_224,high-pass,Entropy,0005_hp_dnn_1.5_cat_10_n02123597_7071.png,0,2.1959152221679688
vit_small_patch16_224,high-pass,Entropy,0005_hp_dnn_1.5_cat_10_n02123597_7071.png,1,2.3394484519958496
vit_small_patch16_224,high-pass,Entropy,0005_hp_dnn_1.5_cat_10_n02123597_7071.png,2,2.3047399520874023
vit_small_patch16_224,high-pass,Entropy,0005_hp_dnn_1.5_cat_10_n02123597_7071.png,3,2.273219347000122
vit_small_patch16_224,high-pass,Entropy,0005_hp_dnn_1.5_cat_10_n02123597_7071.png,4,2.1652114391326904
