subj,dataset_name,metric_name,stimulus,layer,value
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,0,0.25
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,1,0.5
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,2,1.0
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,3,0.25
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,4,0.25
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,5,0.25
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,6,0.3333333333333333
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,7,0.3333333333333333
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,8,0.16666666666666666
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,9,0.14285714285714285
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,10,0.25
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,11,0.3333333333333333
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,0,0.07142857142857142
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,1,0.07142857142857142
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,2,0.06666666666666667
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,3,0.07692307692307693
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,4,0.07142857142857142
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,5,0.08333333333333333
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,6,0.07142857142857142
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,7,0.07692307692307693
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,8,0.125
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,9,0.09090909090909091
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,10,0.14285714285714285
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,11,1.0
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,0,0.08333333333333333
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,1,0.08333333333333333
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,2,0.08333333333333333
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,3,0.1
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,4,0.08333333333333333
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,5,0.07142857142857142
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,6,0.125
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,7,0.1111111111111111
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,8,0.07692307692307693
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,9,0.25
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,10,0.25
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,11,0.25
vit_small_patch16_224,high-pass,Layerwise Reciprocal Rank,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,0,0.2
