subj,dataset_name,metric_name,stimulus,layer,value
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0001_pow_dnn_0_clock_35_n03196217_10246.png,0,1.0
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0001_pow_dnn_0_clock_35_n03196217_10246.png,1,1.0
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0001_pow_dnn_0_clock_35_n03196217_10246.png,2,0.3333333333333333
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0001_pow_dnn_0_clock_35_n03196217_10246.png,3,1.0
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0001_pow_dnn_0_clock_35_n03196217_10246.png,4,1.0
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0001_pow_dnn_0_clock_35_n03196217_10246.png,5,1.0
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0001_pow_dnn_0_clock_35_n03196217_10246.png,6,1.0
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0001_pow_dnn_0_clock_35_n03196217_10246.png,7,1.0
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0001_pow_dnn_0_clock_35_n03196217_10246.png,8,1.0
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0001_pow_dnn_0_clock_35_n03196217_10246.png,9,1.0
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0001_pow_dnn_0_clock_35_n03196217_10246.png,10,1.0
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0001_pow_dnn_0_clock_35_n03196217_10246.png,11,1.0
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0002_pow_dnn_pow_dog_35_n02091467_7264.png,0,0.125
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0002_pow_dnn_pow_dog_35_n02091467_7264.png,1,0.1
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0002_pow_dnn_pow_dog_35_n02091467_7264.png,2,0.1
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0002_pow_dnn_pow_dog_35_n02091467_7264.png,3,0.1
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0002_pow_dnn_pow_dog_35_n02091467_7264.png,4,0.09090909090909091
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0002_pow_dnn_pow_dog_35_n02091467_7264.png,5,0.08333333333333333
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0002_pow_dnn_pow_dog_35_n02091467_7264.png,6,0.1
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0002_pow_dnn_pow_dog_35_n02091467_7264.png,7,0.16666666666666666
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0002_pow_dnn_pow_dog_35_n02091467_7264.png,8,0.2
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0002_pow_dnn_pow_dog_35_n02091467_7264.png,9,0.2
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0002_pow_dnn_pow_dog_35_n02091467_7264.png,10,0.5
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0002_pow_dnn_pow_dog_35_n02091467_7264.png,11,0.3333333333333333
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0003_pow_dnn_pow_chair_35_n02791124_713.png,0,0.07142857142857142
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0003_pow_dnn_pow_chair_35_n02791124_713.png,1,0.06666666666666667
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0003_pow_dnn_pow_chair_35_n02791124_713.png,2,0.06666666666666667
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0003_pow_dnn_pow_chair_35_n02791124_713.png,3,0.06666666666666667
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0003_pow_dnn_pow_chair_35_n02791124_713.png,4,0.06666666666666667
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0003_pow_dnn_pow_chair_35_n02791124_713.png,5,0.06666666666666667
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0003_pow_dnn_pow_chair_35_n02791124_713.png,6,0.07142857142857142
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0003_pow_dnn_pow_chair_35_n02791124_713.png,7,0.06666666666666667
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0003_pow_dnn_pow_chair_35_n02791124_713.png,8,0.1
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0003_pow_dnn_pow_chair_35_n02791124_713.png,9,0.2
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0003_pow_dnn_pow_chair_35_n02791124_713.png,10,0.5
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0003_pow_dnn_pow_chair_35_n02791124_713.png,11,1.0
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0004_pow_dnn_0_car_35_n02814533_35174.png,0,0.06666666666666667
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0004_pow_dnn_0_car_35_n02814533_35174.png,1,0.06666666666666667
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0004_pow_dnn_0_car_35_n02814533_35174.png,2,0.06666666666666667
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0004_pow_dnn_0_car_35_n02814533_35174.png,3,0.08333333333333333
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0004_pow_dnn_0_car_35_n02814533_35174.png,4,0.07142857142857142
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0004_pow_dnn_0_car_35_n02814533_35174.png,5,0.08333333333333333
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0004_pow_dnn_0_car_35_n02814533_35174.png,6,0.07692307692307693
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0004_pow_dnn_0_car_35_n02814533_35174.png,7,0.14285714285714285
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0004_pow_dnn_0_car_35_n02814533_35174.png,8,0.25
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0004_pow_dnn_0_car_35_n02814533_35174.png,9,0.3333333333333333
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0004_pow_dnn_0_car_35_n02814533_35174.png,10,1.0
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0004_pow_dnn_0_car_35_n02814533_35174.png,11,1.0
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0005_pow_dnn_pow_knife_35_n03041632_46103.png,0,0.09090909090909091
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0005_pow_dnn_pow_knife_35_n03041632_46103.png,1,0.1111111111111111
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0005_pow_dnn_pow_knife_35_n03041632_46103.png,2,0.14285714285714285
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0005_pow_dnn_pow_knife_35_n03041632_46103.png,3,0.09090909090909091
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0005_pow_dnn_pow_knife_35_n03041632_46103.png,4,0.1
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0005_pow_dnn_pow_knife_35_n03041632_46103.png,5,0.125
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0005_pow_dnn_pow_knife_35_n03041632_46103.png,6,0.2
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0005_pow_dnn_pow_knife_35_n03041632_46103.png,7,0.2
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0005_pow_dnn_pow_knife_35_n03041632_46103.png,8,0.5
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0005_pow_dnn_pow_knife_35_n03041632_46103.png,9,1.0
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0005_pow_dnn_pow_knife_35_n03041632_46103.png,10,0.5
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0005_pow_dnn_pow_knife_35_n03041632_46103.png,11,0.5
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,0,0.2
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,1,0.16666666666666666
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,2,0.2
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,3,0.14285714285714285
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,4,0.3333333333333333
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,5,0.2
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,6,0.09090909090909091
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,7,0.16666666666666666
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,8,0.16666666666666666
vit_small_patch16_224,power-equalisation,Layerwise Reciprocal Rank,0006_pow_dnn_0_bicycle_35_n03792782_11306.png,9,0.25
