subj,dataset_name,metric_name,stimulus,layer,value
vit_small_patch16_224,rotation,Probability,0001_rot_dnn_0_chair_20_n03376595_3070.png,0,0.011238633655011654
vit_small_patch16_224,rotation,Probability,0001_rot_dnn_0_chair_20_n03376595_3070.png,1,0.009601001627743244
vit_small_patch16_224,rotation,Probability,0001_rot_dnn_0_chair_20_n03376595_3070.png,2,0.008713288232684135
vit_small_patch16_224,rotation,Probability,0001_rot_dnn_0_chair_20_n03376595_3070.png,3,0.01272759959101677
vit_small_patch16_224,rotation,Probability,0001_rot_dnn_0_chair_20_n03376595_3070.png,4,0.009329433552920818
vit_small_patch16_224,rotation,Probability,0001_rot_dnn_0_chair_20_n03376595_3070.png,5,0.007609700784087181
vit_small_patch16_224,rotation,Probability,0001_rot_dnn_0_chair_20_n03376595_3070.png,6,0.007151916157454252
vit_small_patch16_224,rotation,Probability,0001_rot_dnn_0_chair_20_n03376595_3070.png,7,0.01526135578751564
vit_small_patch16_224,rotation,Probability,0001_rot_dnn_0_chair_20_n03376595_3070.png,8,0.055877700448036194
vit_small_patch16_224,rotation,Probability,0001_rot_dnn_0_chair_20_n03376595_3070.png,9,0.0620151162147522
vit_small_patch16_224,rotation,Probability,0001_rot_dnn_0_chair_20_n03376595_3070.png,10,0.06819812953472137
vit_small_patch16_224,rotation,Probability,0001_rot_dnn_0_chair_20_n03376595_3070.png,11,0.33523058891296387
vit_small_patch16_224,rotation,Probability,0002_rot_dnn_180_car_20_n02814533_29367.png,0,0.0051499768160283566
vit_small_patch16_224,rotation,Probability,0002_rot_dnn_180_car_20_n02814533_29367.png,1,0.009976026602089405
vit_small_patch16_224,rotation,Probability,0002_rot_dnn_180_car_20_n02814533_29367.png,2,0.009826292283833027
vit_small_patch16_224,rotation,Probability,0002_rot_dnn_180_car_20_n02814533_29367.png,3,0.014175863936543465
vit_small_patch16_224,rotation,Probability,0002_rot_dnn_180_car_20_n02814533_29367.png,4,0.009931734763085842
vit_small_patch16_224,rotation,Probability,0002_rot_dnn_180_car_20_n02814533_29367.png,5,0.013648380525410175
vit_small_patch16_224,rotation,Probability,0002_rot_dnn_180_car_20_n02814533_29367.png,6,0.009394796565175056
vit_small_patch16_224,rotation,Probability,0002_rot_dnn_180_car_20_n02814533_29367.png,7,0.05296963453292847
vit_small_patch16_224,rotation,Probability,0002_rot_dnn_180_car_20_n02814533_29367.png,8,0.07640215009450912
vit_small_patch16_224,rotation,Probability,0002_rot_dnn_180_car_20_n02814533_29367.png,9,0.07667845487594604
vit_small_patch16_224,rotation,Probability,0002_rot_dnn_180_car_20_n02814533_29367.png,10,0.14823852479457855
vit_small_patch16_224,rotation,Probability,0002_rot_dnn_180_car_20_n02814533_29367.png,11,0.6401547789573669
vit_small_patch16_224,rotation,Probability,0003_rot_dnn_270_car_20_n02814533_31083.png,0,0.005158554762601852
vit_small_patch16_224,rotation,Probability,0003_rot_dnn_270_car_20_n02814533_31083.png,1,0.009243168868124485
vit_small_patch16_224,rotation,Probability,0003_rot_dnn_270_car_20_n02814533_31083.png,2,0.009600107558071613
vit_small_patch16_224,rotation,Probability,0003_rot_dnn_270_car_20_n02814533_31083.png,3,0.012635277584195137
vit_small_patch16_224,rotation,Probability,0003_rot_dnn_270_car_20_n02814533_31083.png,4,0.006958743091672659
vit_small_patch16_224,rotation,Probability,0003_rot_dnn_270_car_20_n02814533_31083.png,5,0.008324975147843361
vit_small_patch16_224,rotation,Probability,0003_rot_dnn_270_car_20_n02814533_31083.png,6,0.004219940397888422
vit_small_patch16_224,rotation,Probability,0003_rot_dnn_270_car_20_n02814533_31083.png,7,0.03006310760974884
vit_small_patch16_224,rotation,Probability,0003_rot_dnn_270_car_20_n02814533_31083.png,8,0.053621429949998856
vit_small_patch16_224,rotation,Probability,0003_rot_dnn_270_car_20_n02814533_31083.png,9,0.06430243700742722
vit_small_patch16_224,rotation,Probability,0003_rot_dnn_270_car_20_n02814533_31083.png,10,0.08081173896789551
vit_small_patch16_224,rotation,Probability,0003_rot_dnn_270_car_20_n02814533_31083.png,11,0.006496576592326164
vit_small_patch16_224,rotation,Probability,0004_rot_dnn_180_car_20_n03100240_1703.png,0,0.005061277654021978
vit_small_patch16_224,rotation,Probability,0004_rot_dnn_180_car_20_n03100240_1703.png,1,0.010377319529652596
vit_small_patch16_224,rotation,Probability,0004_rot_dnn_180_car_20_n03100240_1703.png,2,0.010445463471114635
vit_small_patch16_224,rotation,Probability,0004_rot_dnn_180_car_20_n03100240_1703.png,3,0.015338770113885403
vit_small_patch16_224,rotation,Probability,0004_rot_dnn_180_car_20_n03100240_1703.png,4,0.010077404789626598
vit_small_patch16_224,rotation,Probability,0004_rot_dnn_180_car_20_n03100240_1703.png,5,0.015394202433526516
vit_small_patch16_224,rotation,Probability,0004_rot_dnn_180_car_20_n03100240_1703.png,6,0.010852120816707611
vit_small_patch16_224,rotation,Probability,0004_rot_dnn_180_car_20_n03100240_1703.png,7,0.07966769486665726
vit_small_patch16_224,rotation,Probability,0004_rot_dnn_180_car_20_n03100240_1703.png,8,0.09164716303348541
vit_small_patch16_224,rotation,Probability,0004_rot_dnn_180_car_20_n03100240_1703.png,9,0.08744842559099197
vit_small_patch16_224,rotation,Probability,0004_rot_dnn_180_car_20_n03100240_1703.png,10,0.14981578290462494
vit_small_patch16_224,rotation,Probability,0004_rot_dnn_180_car_20_n03100240_1703.png,11,0.028746619820594788
vit_small_patch16_224,rotation,Probability,0005_rot_dnn_180_bottle_20_n04591713_2359.png,0,0.19556395709514618
vit_small_patch16_224,rotation,Probability,0005_rot_dnn_180_bottle_20_n04591713_2359.png,1,0.1447688490152359
vit_small_patch16_224,rotation,Probability,0005_rot_dnn_180_bottle_20_n04591713_2359.png,2,0.20413634181022644
vit_small_patch16_224,rotation,Probability,0005_rot_dnn_180_bottle_20_n04591713_2359.png,3,0.1990850865840912
vit_small_patch16_224,rotation,Probability,0005_rot_dnn_180_bottle_20_n04591713_2359.png,4,0.25836971402168274
vit_small_patch16_224,rotation,Probability,0005_rot_dnn_180_bottle_20_n04591713_2359.png,5,0.23630958795547485
vit_small_patch16_224,rotation,Probability,0005_rot_dnn_180_bottle_20_n04591713_2359.png,6,0.11238283663988113
vit_small_patch16_224,rotation,Probability,0005_rot_dnn_180_bottle_20_n04591713_2359.png,7,0.1392795294523239
vit_small_patch16_224,rotation,Probability,0005_rot_dnn_180_bottle_20_n04591713_2359.png,8,0.096670962870121
vit_small_patch16_224,rotation,Probability,0005_rot_dnn_180_bottle_20_n04591713_2359.png,9,0.06998036801815033
vit_small_patch16_224,rotation,Probability,0005_rot_dnn_180_bottle_20_n04591713_2359.png,10,0.09985612332820892
vit_small_patch16_224,rotation,Probability,0005_rot_dnn_180_bottle_20_n04591713_2359.png,11,0.9971866607666016
