subj,dataset_name,metric_name,stimulus,layer,value
vit_small_patch16_224,sketch,Entropy,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,0,2.203062057495117
vit_small_patch16_224,sketch,Entropy,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,1,2.364025115966797
vit_small_patch16_224,sketch,Entropy,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,2,2.2845449447631836
vit_small_patch16_224,sketch,Entropy,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,3,2.328655242919922
vit_small_patch16_224,sketch,Entropy,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,4,2.1463372707366943
vit_small_patch16_224,sketch,Entropy,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,5,1.5935426950454712
vit_small_patch16_224,sketch,Entropy,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,6,1.0079238414764404
vit_small_patch16_224,sketch,Entropy,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,7,1.7566922903060913
vit_small_patch16_224,sketch,Entropy,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,8,2.5666704177856445
vit_small_patch16_224,sketch,Entropy,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,9,2.5839409828186035
vit_small_patch16_224,sketch,Entropy,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,10,2.6647281646728516
vit_small_patch16_224,sketch,Entropy,0001_ske_dnn_0_airplane_00_airplane-0001-sketch-0.png,11,1.9870041608810425
vit_small_patch16_224,sketch,Entropy,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,0,2.2032718658447266
vit_small_patch16_224,sketch,Entropy,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,1,2.3629493713378906
vit_small_patch16_224,sketch,Entropy,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,2,2.272061347961426
vit_small_patch16_224,sketch,Entropy,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,3,2.309544563293457
vit_small_patch16_224,sketch,Entropy,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,4,2.1186256408691406
vit_small_patch16_224,sketch,Entropy,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,5,1.6962168216705322
vit_small_patch16_224,sketch,Entropy,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,6,1.1572747230529785
vit_small_patch16_224,sketch,Entropy,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,7,2.0524933338165283
vit_small_patch16_224,sketch,Entropy,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,8,2.630488157272339
vit_small_patch16_224,sketch,Entropy,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,9,2.647062301635742
vit_small_patch16_224,sketch,Entropy,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,10,2.693319320678711
vit_small_patch16_224,sketch,Entropy,0002_ske_dnn_0_airplane_00_airplane-0002-sketch-1.png,11,2.277717113494873
vit_small_patch16_224,sketch,Entropy,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,0,2.1988468170166016
vit_small_patch16_224,sketch,Entropy,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,1,2.363156318664551
vit_small_patch16_224,sketch,Entropy,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,2,2.25285005569458
vit_small_patch16_224,sketch,Entropy,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,3,2.3188140392303467
vit_small_patch16_224,sketch,Entropy,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,4,2.13505220413208
vit_small_patch16_224,sketch,Entropy,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,5,1.6627318859100342
vit_small_patch16_224,sketch,Entropy,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,6,1.5601584911346436
vit_small_patch16_224,sketch,Entropy,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,7,2.275846242904663
vit_small_patch16_224,sketch,Entropy,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,8,2.660574197769165
vit_small_patch16_224,sketch,Entropy,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,9,2.6646642684936523
vit_small_patch16_224,sketch,Entropy,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,10,2.704561471939087
vit_small_patch16_224,sketch,Entropy,0003_ske_dnn_0_airplane_00_airplane-0003-sketch-10.png,11,1.3651522397994995
vit_small_patch16_224,sketch,Entropy,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,0,2.196443557739258
vit_small_patch16_224,sketch,Entropy,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,1,2.3643386363983154
vit_small_patch16_224,sketch,Entropy,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,2,2.2290027141571045
vit_small_patch16_224,sketch,Entropy,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,3,2.316876173019409
vit_small_patch16_224,sketch,Entropy,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,4,2.1299049854278564
vit_small_patch16_224,sketch,Entropy,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,5,1.7073912620544434
vit_small_patch16_224,sketch,Entropy,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,6,1.8471746444702148
vit_small_patch16_224,sketch,Entropy,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,7,2.4209957122802734
vit_small_patch16_224,sketch,Entropy,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,8,2.6988697052001953
vit_small_patch16_224,sketch,Entropy,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,9,2.6871724128723145
vit_small_patch16_224,sketch,Entropy,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,10,2.6856942176818848
vit_small_patch16_224,sketch,Entropy,0004_ske_dnn_0_airplane_00_airplane-0004-sketch-11.png,11,2.3344955444335938
vit_small_patch16_224,sketch,Entropy,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,0,2.19813871383667
vit_small_patch16_224,sketch,Entropy,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,1,2.364777088165283
vit_small_patch16_224,sketch,Entropy,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,2,2.2655248641967773
vit_small_patch16_224,sketch,Entropy,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,3,2.3319454193115234
vit_small_patch16_224,sketch,Entropy,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,4,2.2165963649749756
vit_small_patch16_224,sketch,Entropy,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,5,1.8209229707717896
vit_small_patch16_224,sketch,Entropy,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,6,1.4032070636749268
vit_small_patch16_224,sketch,Entropy,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,7,2.2857563495635986
vit_small_patch16_224,sketch,Entropy,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,8,2.667548179626465
vit_small_patch16_224,sketch,Entropy,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,9,2.6867685317993164
vit_small_patch16_224,sketch,Entropy,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,10,2.6164441108703613
vit_small_patch16_224,sketch,Entropy,0005_ske_dnn_0_airplane_00_airplane-0005-sketch-12.png,11,0.08013418316841125
vit_small_patch16_224,sketch,Entropy,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png,0,2.2018380165100098
vit_small_patch16_224,sketch,Entropy,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png,1,2.3549795150756836
vit_small_patch16_224,sketch,Entropy,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png,2,2.266780376434326
vit_small_patch16_224,sketch,Entropy,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png,3,2.3610424995422363
vit_small_patch16_224,sketch,Entropy,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png,4,2.2104108333587646
vit_small_patch16_224,sketch,Entropy,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png,5,1.7604658603668213
vit_small_patch16_224,sketch,Entropy,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png,6,1.1111723184585571
vit_small_patch16_224,sketch,Entropy,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png,7,2.202221393585205
vit_small_patch16_224,sketch,Entropy,0006_ske_dnn_0_airplane_00_airplane-0006-sketch-13.png,8,2.6080727577209473
