subj,dataset_name,metric_name,stimulus,layer,value
vit_small_patch16_224,stylized,Entropy,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,0,2.2206945419311523
vit_small_patch16_224,stylized,Entropy,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,1,2.3939173221588135
vit_small_patch16_224,stylized,Entropy,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,2,2.377546787261963
vit_small_patch16_224,stylized,Entropy,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,3,2.3358635902404785
vit_small_patch16_224,stylized,Entropy,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,4,2.3034467697143555
vit_small_patch16_224,stylized,Entropy,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,5,1.9647716283798218
vit_small_patch16_224,stylized,Entropy,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,6,1.5932538509368896
vit_small_patch16_224,stylized,Entropy,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,7,2.468323230743408
vit_small_patch16_224,stylized,Entropy,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,8,2.726146697998047
vit_small_patch16_224,stylized,Entropy,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,9,2.7456350326538086
vit_small_patch16_224,stylized,Entropy,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,10,2.720888137817383
vit_small_patch16_224,stylized,Entropy,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,11,1.9516774415969849
vit_small_patch16_224,stylized,Entropy,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,0,2.1875290870666504
vit_small_patch16_224,stylized,Entropy,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,1,2.346395492553711
vit_small_patch16_224,stylized,Entropy,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,2,2.2677905559539795
vit_small_patch16_224,stylized,Entropy,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,3,2.3295505046844482
vit_small_patch16_224,stylized,Entropy,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,4,2.1758339405059814
vit_small_patch16_224,stylized,Entropy,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,5,1.8760651350021362
vit_small_patch16_224,stylized,Entropy,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,6,1.9903236627578735
vit_small_patch16_224,stylized,Entropy,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,7,2.5512475967407227
vit_small_patch16_224,stylized,Entropy,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,8,2.743598461151123
vit_small_patch16_224,stylized,Entropy,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,9,2.7540183067321777
vit_small_patch16_224,stylized,Entropy,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,10,2.6748151779174805
vit_small_patch16_224,stylized,Entropy,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,11,0.048265907913446426
vit_small_patch16_224,stylized,Entropy,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,0,2.218463897705078
vit_small_patch16_224,stylized,Entropy,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,1,2.384113311767578
vit_small_patch16_224,stylized,Entropy,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,2,2.3647589683532715
vit_small_patch16_224,stylized,Entropy,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,3,2.2609686851501465
vit_small_patch16_224,stylized,Entropy,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,4,2.265026569366455
vit_small_patch16_224,stylized,Entropy,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,5,2.1256425380706787
vit_small_patch16_224,stylized,Entropy,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,6,2.1844522953033447
vit_small_patch16_224,stylized,Entropy,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,7,2.5486860275268555
vit_small_patch16_224,stylized,Entropy,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,8,2.7225518226623535
vit_small_patch16_224,stylized,Entropy,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,9,2.715308666229248
vit_small_patch16_224,stylized,Entropy,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,10,2.676656723022461
vit_small_patch16_224,stylized,Entropy,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,11,2.0229053497314453
vit_small_patch16_224,stylized,Entropy,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,0,2.223787784576416
vit_small_patch16_224,stylized,Entropy,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,1,2.3947367668151855
vit_small_patch16_224,stylized,Entropy,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,2,2.3778960704803467
vit_small_patch16_224,stylized,Entropy,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,3,2.3624606132507324
vit_small_patch16_224,stylized,Entropy,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,4,2.3579659461975098
vit_small_patch16_224,stylized,Entropy,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,5,2.1672027111053467
vit_small_patch16_224,stylized,Entropy,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,6,2.310117483139038
vit_small_patch16_224,stylized,Entropy,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,7,2.561765432357788
vit_small_patch16_224,stylized,Entropy,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,8,2.7378525733947754
vit_small_patch16_224,stylized,Entropy,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,9,2.7313647270202637
vit_small_patch16_224,stylized,Entropy,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,10,2.672879695892334
vit_small_patch16_224,stylized,Entropy,0004_sty_dnn_0_airplane_00_airplane-0004-ILSVRC2012-val-00001952.png,11,0.5616418719291687
vit_small_patch16_224,stylized,Entropy,0005_sty_dnn_0_airplane_00_airplane-0005-ILSVRC2012-val-00003960.png,0,2.2246482372283936
vit_small_patch16_224,stylized,Entropy,0005_sty_dnn_0_airplane_00_airplane-0005-ILSVRC2012-val-00003960.png,1,2.3956470489501953
vit_small_patch16_224,stylized,Entropy,0005_sty_dnn_0_airplane_00_airplane-0005-ILSVRC2012-val-00003960.png,2,2.3717637062072754
vit_small_patch16_224,stylized,Entropy,0005_sty_dnn_0_airplane_00_airplane-0005-ILSVRC2012-val-00003960.png,3,2.3345162868499756
vit_small_patch16_224,stylized,Entropy,0005_sty_dnn_0_airplane_00_airplane-0005-ILSVRC2012-val-00003960.png,4,2.323545455932617
vit_small_patch16_224,stylized,Entropy,0005_sty_dnn_0_airplane_00_airplane-0005-ILSVRC2012-val-00003960.png,5,2.16892147064209
vit_small_patch16_224,stylized,Entropy,0005_sty_dnn_0_airplane_00_airplane-0005-ILSVRC2012-val-00003960.png,6,2.263171672821045
vit_small_patch16_224,stylized,Entropy,0005_sty_dnn_0_airplane_00_airplane-0005-ILSVRC2012-val-00003960.png,7,2.5476794242858887
