subj,dataset_name,metric_name,stimulus,layer,value
vit_small_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,0,0.16307216882705688
vit_small_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,1,0.14278453588485718
vit_small_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,2,0.10830353200435638
vit_small_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,3,0.10717713832855225
vit_small_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,4,0.080106720328331
vit_small_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,5,0.10819509625434875
vit_small_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,6,0.08705606311559677
vit_small_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,7,0.10630302131175995
vit_small_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,8,0.08317320048809052
vit_small_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,9,0.06702025234699249
vit_small_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,10,0.06797074526548386
vit_small_patch16_224,stylized,Probability,0001_sty_dnn_0_airplane_00_airplane-0001-ILSVRC2012-val-00000631.png,11,0.04373026639223099
vit_small_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,0,0.1936483234167099
vit_small_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,1,0.229658842086792
vit_small_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,2,0.2412261962890625
vit_small_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,3,0.2011590301990509
vit_small_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,4,0.22292070090770721
vit_small_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,5,0.17034472525119781
vit_small_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,6,0.2788621485233307
vit_small_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,7,0.1592561900615692
vit_small_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,8,0.09970974177122116
vit_small_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,9,0.09098362922668457
vit_small_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,10,0.1523762047290802
vit_small_patch16_224,stylized,Probability,0002_sty_dnn_0_airplane_00_airplane-0002-ILSVRC2012-val-00001390.png,11,0.9938982129096985
vit_small_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,0,0.16428016126155853
vit_small_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,1,0.14429113268852234
vit_small_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,2,0.15586762130260468
vit_small_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,3,0.14406996965408325
vit_small_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,4,0.1246720403432846
vit_small_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,5,0.1800960898399353
vit_small_patch16_224,stylized,Probability,0003_sty_dnn_0_airplane_00_airplane-0003-ILSVRC2012-val-00001506.png,6,0.24320915341377258
